Frame,Mean
0,-0.014573
1,-0.014059
2,-0.013805
3,-0.009609
4,-0.017514
5,-0.009197
6,-0.015647
7,-0.013343
8,-0.010409
9,-0.013551
10,-0.016991
11,-0.017344
12,-0.018887
13,-0.014594
14,-0.016234
15,-0.017411
16,-0.020065
17,-0.020510
18,-0.023084
19,-0.019660
20,-0.021384
21,0.002368
22,0.001605
23,0.001490
24,-0.001640
25,-0.006298
26,-0.004944
27,-0.006104
28,-0.008411
29,-0.010502
30,-0.004521
31,0.000713
32,0.000370
33,-0.002026
34,0.002212
35,-0.009137
36,-0.004260
37,-0.003310
38,-0.003581
39,-0.010029
40,-0.011995
41,-0.011418
42,-0.011074
43,-0.006787
44,-0.014660
45,-0.006287
46,-0.012711
47,-0.010662
48,-0.008102
49,-0.011410
50,-0.014948
51,-0.015210
52,-0.016702
53,-0.012327
54,-0.013900
55,-0.015018
56,-0.017610
57,-0.017959
58,-0.020472
59,-0.016977
60,-0.018665
61,-0.016782
62,-0.012315
63,-0.011766
64,-0.017784
65,-0.028760
66,-0.016566
67,-0.019539
68,-0.018627
69,-0.021093
70,-0.019051
71,-0.018673
72,-0.021275
73,-0.023539
74,-0.025262
75,-0.025576
76,-0.030644
77,-0.024631
78,-0.027113
79,-0.031114
80,-0.033193
81,-0.027913
82,-0.027127
83,-0.030900
84,-0.030143
85,-0.030001
86,-0.032663
87,-0.027334
88,-0.028703
89,-0.031162
90,-0.032942
91,-0.031764
92,-0.027533
93,-0.037564
94,-0.032843
95,-0.033876
96,-0.038270
97,-0.034166
98,-0.038506
99,-0.038966
100,-0.035355
101,-0.037888
102,-0.035893
103,-0.044559
104,-0.044369
105,-0.046319
106,-0.043127
107,-0.043179
108,-0.043511
109,-0.044146
110,-0.044915
111,-0.040884
112,-0.044382
113,-0.047586
114,-0.042324
115,-0.043175
116,-0.045447
117,-0.047291
118,-0.047600
119,-0.046757
120,-0.043947
121,-0.042178
122,-0.045880
123,-0.043862
124,-0.041112
125,-0.041389
126,-0.042460
127,-0.044913
128,-0.046631
129,-0.046587
130,-0.042075
131,-0.047149
132,-0.044445
133,-0.050155
134,-0.049859
135,-0.043481
136,-0.043475
137,-0.041866
138,-0.037239
139,-0.037322
140,-0.038208
141,-0.044247
142,-0.035236
143,-0.039832
144,-0.033759
145,-0.039011
146,-0.043155
147,-0.037873
148,-0.042312
149,-0.043108
150,-0.045094
151,-0.044167
152,-0.042457
153,-0.051689
154,-0.049972
155,-0.048688
156,-0.042605
157,-0.045809
158,-0.047826
159,-0.046778
160,-0.051865
161,-0.051912
162,-0.049074
163,-0.052751
164,-0.049922
165,-0.050271
166,-0.052211
167,-0.044970
168,-0.046532
169,-0.039024
170,-0.039596
171,-0.037453
172,-0.038237
173,-0.038114
174,-0.038771
175,-0.038269
176,-0.044945
177,-0.041114
178,-0.045010
179,-0.047214
180,-0.050468
181,-0.046167
182,-0.045415
183,-0.043209
184,-0.037112
185,-0.039011
186,-0.045837
187,-0.036249
188,-0.040029
189,-0.039625
190,-0.048364
191,-0.044698
192,-0.042026
193,-0.041777
194,-0.040021
195,-0.041447
196,-0.043669
197,-0.034770
198,-0.036518
199,-0.035249
200,-0.032635
201,-0.037494
202,-0.036737
203,-0.035916
204,-0.033819
205,-0.033934
206,-0.034178
207,-0.033245
208,-0.041387
209,-0.044405
210,-0.043266
211,-0.040805
212,-0.038181
213,-0.045968
214,-0.043291
215,-0.044222
216,-0.047561
217,-0.044085
218,-0.034274
219,-0.040376
220,-0.042783
221,-0.046352
222,-0.045499
223,-0.045728
224,-0.045838
225,-0.054467
226,-0.056564
227,-0.057896
228,-0.059931
229,-0.053578
230,-0.063015
231,-0.057547
232,-0.053233
233,-0.052439
234,-0.055324
235,-0.048839
236,-0.056692
237,-0.053008
238,-0.050922
239,-0.048987
240,-0.049522
241,-0.053959
242,-0.049993
243,-0.053082
244,-0.049995
245,-0.047981
246,-0.048136
247,-0.053718
248,-0.048023
249,-0.046178
250,-0.049308
251,-0.044108
252,-0.042337
253,-0.046472
254,-0.042506
255,-0.042839
256,-0.045900
257,-0.041853
258,-0.039185
259,-0.039366
260,-0.033423
261,-0.032601
262,-0.028565
263,-0.019891
