Frame,Mean
0,-0.011214
1,-0.009436
2,-0.010388
3,-0.008238
4,-0.012796
5,-0.010715
6,-0.007676
7,-0.003596
8,0.000416
9,-0.001564
10,0.002119
11,0.006531
12,0.007236
13,0.009006
14,0.012698
15,0.006855
16,0.010658
17,0.009290
18,0.015698
19,0.013612
20,0.014575
21,0.017642
22,0.015170
23,0.019620
24,0.020460
25,0.024945
26,0.025467
27,0.020017
28,0.021454
29,0.029315
30,0.023388
31,0.024189
32,0.023076
33,0.026340
34,0.021614
35,0.018394
36,0.025496
37,0.024656
38,0.025429
39,0.019724
40,0.019325
41,0.020673
42,0.025983
43,0.029361
44,0.021969
45,0.022069
46,0.021823
47,0.017875
48,0.017479
49,0.022411
50,0.025190
51,0.020738
52,0.024750
53,0.027699
54,0.021206
55,0.018114
56,0.019733
57,0.020489
58,0.011682
59,0.012111
60,0.018288
61,0.011317
62,0.013262
63,0.009579
64,0.011037
65,0.011720
66,0.016433
67,0.007320
68,0.012156
69,0.010850
70,0.009880
71,0.004587
72,0.009087
73,0.009731
74,0.007708
75,0.007032
76,0.007616
77,0.004010
78,0.004573
79,0.001616
80,0.005701
81,-0.000598
82,0.001907
83,-0.001434
84,0.002544
85,0.001878
86,0.002635
87,0.000447
88,-0.000154
89,-0.000257
90,0.001422
91,0.001618
92,0.004400
93,-0.000678
94,-0.003176
95,0.000076
96,-0.005979
97,-0.002997
98,-0.000477
99,0.000316
100,-0.004676
101,-0.004700
102,-0.007525
103,-0.010479
104,-0.009171
105,-0.010461
106,-0.007325
107,-0.009737
108,-0.018318
109,-0.011829
110,-0.013228
111,-0.011703
112,-0.018857
113,-0.012455
114,-0.013173
115,-0.015648
116,-0.014994
117,-0.017452
118,-0.021139
119,-0.010950
120,-0.013426
121,-0.010602
122,-0.016307
123,-0.014728
124,-0.016006
125,-0.017900
126,-0.016805
127,-0.011346
128,-0.015445
129,-0.017846
130,-0.018550
131,-0.012682
132,-0.019088
133,-0.017403
134,-0.021766
135,-0.017411
136,-0.014474
137,-0.017378
138,-0.023975
139,-0.012270
140,-0.024215
141,-0.023735
142,-0.021932
143,-0.024086
144,-0.021450
145,-0.027826
146,-0.027568
147,-0.025821
148,-0.022935
149,-0.029332
150,-0.020819
151,-0.022801
152,-0.015876
153,-0.021299
154,-0.016731
155,-0.020932
156,-0.020924
157,-0.020431
158,-0.011168
159,-0.013045
160,-0.008175
161,-0.010002
162,-0.010932
163,-0.006491
164,-0.017434
165,-0.007026
166,-0.014852
167,-0.014234
168,-0.012138
169,-0.010532
170,-0.015607
171,-0.014377
172,-0.013634
173,-0.010643
174,-0.019150
175,-0.014122
176,-0.015671
177,-0.011518
178,-0.010066
179,-0.014323
180,-0.010229
181,-0.015229
182,-0.017670
183,-0.019265
184,-0.016655
185,-0.017738
186,-0.021473
187,-0.020284
188,-0.019890
189,-0.015756
190,-0.016829
191,-0.025162
192,-0.013977
193,-0.022721
194,-0.017932
195,-0.018957
196,-0.025163
197,-0.018383
198,-0.021292
199,-0.018801
200,-0.018835
201,-0.021370
202,-0.017398
203,-0.019900
204,-0.015732
205,-0.016514
206,-0.020028
207,-0.013196
208,-0.015432
209,-0.011962
210,-0.020356
211,-0.014544
212,-0.007945
213,-0.016275
214,-0.014663
215,-0.016589
216,-0.015216
217,-0.014053
218,-0.013950
219,-0.016728
220,-0.016080
221,-0.015092
222,-0.010285
223,-0.017107
224,-0.013719
225,-0.013144
226,-0.008709
227,-0.014822
228,-0.017288
229,-0.013679
230,-0.015474
231,-0.008953
232,-0.012515
233,-0.020727
234,-0.021746
235,-0.015947
236,-0.015674
237,-0.020865
238,-0.019000
239,-0.023104
240,-0.019526
241,-0.022723
242,-0.021281
243,-0.021261
244,-0.017850
245,-0.020270
246,-0.020929
247,-0.020971
248,-0.016344
249,-0.013962
250,-0.017954
251,-0.018231
252,-0.019926
253,-0.018790
254,-0.012498
255,-0.022013
256,-0.011862
257,-0.017702
258,-0.014726
259,-0.012891
260,-0.011966
261,-0.018450
262,-0.018335
263,-0.016084
264,-0.019224
265,-0.016082
266,-0.015152
267,-0.020340
268,-0.015732
269,-0.019877
270,-0.007817
271,-0.011373
272,-0.011661
273,-0.019891
274,-0.012813
275,-0.007375
276,-0.009541
277,-0.005831
278,-0.009783
279,-0.009754
280,-0.006368
281,-0.012600
282,-0.007855
283,-0.009866
284,-0.002326
285,-0.009928
286,-0.007519
287,-0.007025
288,-0.013539
289,-0.010691
290,-0.005620
291,-0.005206
292,-0.004595
293,0.000571
294,0.000009
295,0.000161
296,-0.001929
297,0.001275
298,0.005076
299,-0.003556
300,0.004237
301,0.001300
302,0.004572
303,0.004795
304,0.006092
305,-0.000567
306,0.007126
307,0.003644
308,0.005230
309,0.000731
310,0.010046
311,0.008441
312,0.005562
313,0.005962
314,0.007369
315,0.010233
316,0.007462
317,0.011317
318,0.014329
319,0.019126
320,0.012230
321,0.014867
322,0.010540
323,0.013441
324,0.008388
325,0.017809
326,0.016568
327,0.017385
328,0.009861
329,0.019251
330,0.013971
331,0.015676
332,0.019783
333,0.014913
334,0.014206
335,0.014534
336,0.016518
337,0.017269
338,0.012661
339,0.009940
340,0.020509
341,0.014377
342,0.011061
343,0.018126
344,0.016595
345,0.018892
346,0.015585
347,0.017904
348,0.012481
349,0.017670
350,0.020262
351,0.016389
352,0.014750
353,0.020514
354,0.016913
355,0.015303
356,0.017652
357,0.016781
358,0.019277
359,0.019351
360,0.018211
361,0.022787
362,0.020582
363,0.018072
364,0.023777
365,0.018747
366,0.024691
367,0.020948
368,0.018835
369,0.021114
370,0.017994
371,0.019370
372,0.016092
373,0.017300
374,0.021616
375,0.020974
376,0.022375
377,0.018394
378,0.018640
379,0.017839
380,0.023975
381,0.013792
382,0.017349
383,0.018428
384,0.015819
385,0.018254
386,0.015751
387,0.018364
388,0.019837
389,0.014413
390,0.013564
391,0.015320
392,0.021507
393,0.018802
394,0.014369
395,0.017735
396,0.014010
397,0.011394
398,0.015289
399,0.010980
400,0.021279
401,0.014038
402,0.009614
403,0.012925
404,0.011887
405,0.011324
406,0.012245
407,0.010351
408,0.010349
409,0.008772
410,0.012894
411,0.012524
412,0.010288
413,0.012810
414,0.008684
415,0.012283
416,0.012040
417,0.006016
418,0.013497
419,0.014004
420,0.010399
421,0.015317
422,0.018204
423,0.009162
424,0.011008
425,0.013293
426,0.015654
427,0.014537
428,0.011834
429,0.012747
430,0.007744
431,0.006121
432,0.009681
433,0.014402
434,0.016296
435,0.011403
436,0.004936
437,0.011719
438,0.007540
439,0.003295
440,0.004307
441,0.008665
442,0.003249
443,0.010166
444,0.010537
445,0.003081
446,0.003263
447,0.007333
448,0.008207
449,0.005150
450,0.009782
451,0.007256
452,0.008245
453,0.008248
454,0.007143
455,0.009380
456,0.010927
457,0.009237
458,0.010735
459,0.011971
460,0.010695
461,0.010453
462,0.011313
463,0.011679
464,0.009482
465,0.005750
466,0.009934
467,0.006943
468,0.007336
469,0.005583
470,0.005399
471,0.003050
472,0.001755
473,0.002082
474,0.006152
475,-0.000679
476,0.003571
477,0.004370
478,0.000264
479,0.007787
480,0.002465
481,-0.003144
482,0.004362
483,0.000876
484,0.001927
485,0.000771
486,-0.004187
487,-0.000127
488,-0.003042
489,-0.001889
490,-0.001020
491,-0.007271
492,-0.007939
493,-0.007113
494,0.003199
495,0.001994
496,0.004832
497,-0.002592
498,0.000854
499,-0.001896
500,-0.003017
501,-0.000586
502,0.001230
503,-0.005138
504,0.002407
505,-0.005853
506,-0.000469
507,0.002402
508,0.003787
509,0.002000
510,0.001163
511,0.003770
512,-0.003229
513,0.003017
514,-0.001326
515,0.000208
516,0.002172
517,-0.002901
518,0.001717
519,0.000665
520,-0.004099
521,-0.001960
522,-0.005573
523,0.001557
524,-0.006446
525,-0.003063
526,-0.004205
527,-0.001854
528,-0.010440
529,0.000571
530,-0.008880
531,-0.003728
532,0.001270
533,-0.002161
534,-0.001967
535,-0.007378
536,-0.008268
537,-0.007602
538,-0.005926
539,-0.008465
540,-0.006589
541,-0.008641
542,-0.004842
543,-0.008720
544,-0.006953
545,-0.004421
546,-0.010754
547,-0.010886
548,-0.010848
549,-0.010299
550,-0.011149
551,-0.012851
552,-0.013940
553,-0.013277
554,-0.013855
555,-0.015440
556,-0.011641
557,-0.009856
558,-0.009819
559,-0.012064
560,-0.015342
561,-0.009620
562,-0.013464
563,-0.011489
564,-0.012330
565,-0.010756
566,-0.012947
567,-0.017326
568,-0.010423
569,-0.015809
570,-0.012454
571,-0.011502
572,-0.015671
573,-0.013743
574,-0.008337
575,-0.013655
576,-0.010851
577,-0.013416
578,-0.011773
579,-0.006885
580,-0.010528
581,-0.009594
582,-0.010675
583,-0.011146
584,-0.009654
585,-0.010071
586,-0.013310
587,-0.013204
588,-0.008564
589,-0.012892
590,-0.010278
591,-0.012693
592,-0.011538
593,-0.014654
594,-0.015899
595,-0.015611
596,-0.011476
597,-0.015533
598,-0.018609
599,-0.011896
600,-0.010660
601,-0.013464
602,-0.013872
603,-0.014310
604,-0.020368
605,-0.013109
606,-0.009737
607,-0.010814
608,-0.015365
609,-0.016670
610,-0.016392
611,-0.017465
612,-0.018722
613,-0.014882
614,-0.014875
615,-0.014157
616,-0.016847
617,-0.016243
618,-0.015220
619,-0.013959
620,-0.012968
