Frame,Mean
0,0.013348
1,0.009504
2,0.011671
3,0.009237
4,-0.004964
5,0.003656
6,-0.003181
7,-0.005150
8,-0.002264
9,0.005451
10,-0.004767
11,0.004645
12,0.008130
13,0.005092
14,-0.004826
15,-0.007968
16,-0.000635
17,-0.003316
18,-0.005146
19,-0.007823
20,-0.014272
21,-0.025192
22,-0.019671
23,-0.006377
24,-0.017928
25,-0.008232
26,-0.012323
27,-0.018023
28,-0.011073
29,-0.014435
30,-0.020564
31,-0.011872
32,-0.022750
33,-0.013676
34,-0.015623
35,-0.015987
36,-0.026446
37,-0.018900
38,-0.025241
39,-0.026083
40,-0.029101
41,-0.033437
42,-0.023132
43,-0.021943
44,-0.026766
45,-0.032443
46,-0.025748
47,-0.024310
48,-0.031719
49,-0.028950
50,-0.023516
51,-0.027043
52,-0.026552
53,-0.033092
54,-0.032211
55,-0.036534
56,-0.032183
57,-0.033390
58,-0.030513
59,-0.031034
60,-0.034920
61,-0.040586
62,-0.028491
63,-0.036346
64,-0.033698
65,-0.032439
66,-0.019011
67,-0.024530
68,-0.033400
69,-0.039122
70,-0.027354
71,-0.031605
72,-0.037380
73,-0.041589
74,-0.035075
75,-0.044814
76,-0.048738
77,-0.036418
78,-0.049295
79,-0.043994
80,-0.033969
81,-0.048016
82,-0.039854
83,-0.034603
84,-0.041629
85,-0.048219
86,-0.040355
87,-0.038306
88,-0.041196
89,-0.036555
90,-0.043015
91,-0.039509
92,-0.040225
93,-0.041943
94,-0.044825
95,-0.038316
96,-0.034203
97,-0.041371
98,-0.040051
99,-0.043204
100,-0.060382
101,-0.045855
102,-0.041780
103,-0.052215
104,-0.051626
105,-0.051786
106,-0.056179
107,-0.050912
108,-0.058532
109,-0.053314
110,-0.049094
111,-0.063471
112,-0.055912
113,-0.068093
114,-0.062716
115,-0.070229
116,-0.062640
117,-0.063059
118,-0.078181
119,-0.069624
120,-0.074642
121,-0.084066
122,-0.077341
123,-0.062650
124,-0.073222
125,-0.065514
126,-0.064382
127,-0.063188
128,-0.064255
129,-0.060179
130,-0.068091
131,-0.056822
132,-0.059723
133,-0.063634
134,-0.064165
135,-0.059422
136,-0.052177
137,-0.057808
138,-0.061103
139,-0.060306
140,-0.063534
141,-0.052746
142,-0.062561
143,-0.069647
144,-0.072395
145,-0.060775
146,-0.063732
147,-0.068813
148,-0.066221
149,-0.072502
150,-0.068325
151,-0.062590
152,-0.066306
153,-0.068559
154,-0.066741
155,-0.067188
156,-0.065825
157,-0.076480
158,-0.064851
159,-0.072561
160,-0.079223
161,-0.071842
162,-0.066253
163,-0.065392
164,-0.065999
165,-0.057148
166,-0.067151
167,-0.072303
168,-0.064283
169,-0.069933
170,-0.069943
171,-0.076595
172,-0.069572
173,-0.076464
174,-0.068228
175,-0.073328
176,-0.076508
177,-0.074976
178,-0.074558
179,-0.072584
180,-0.074277
181,-0.066258
182,-0.066429
183,-0.069878
184,-0.074225
185,-0.078605
186,-0.062701
187,-0.065294
188,-0.068214
189,-0.067139
190,-0.068483
191,-0.065458
192,-0.066530
193,-0.075906
194,-0.063514
195,-0.069097
196,-0.068209
197,-0.067143
198,-0.058388
199,-0.063199
200,-0.071791
201,-0.069817
202,-0.070281
203,-0.076400
204,-0.068066
205,-0.074158
206,-0.081422
207,-0.067938
208,-0.072501
209,-0.079204
210,-0.072447
211,-0.084095
212,-0.087111
213,-0.084437
214,-0.080454
215,-0.087161
216,-0.089224
217,-0.086451
218,-0.084922
219,-0.082355
220,-0.080858
221,-0.077161
222,-0.078965
223,-0.077476
224,-0.082274
225,-0.081250
226,-0.077807
227,-0.091870
228,-0.080818
229,-0.087228
230,-0.087524
231,-0.090518
232,-0.085231
233,-0.095444
234,-0.090138
235,-0.090873
236,-0.086913
237,-0.091491
238,-0.093126
239,-0.088352
240,-0.078375
241,-0.093184
242,-0.086038
243,-0.099035
244,-0.094936
245,-0.103570
246,-0.096639
247,-0.093831
248,-0.094204
249,-0.095079
250,-0.094873
251,-0.093604
252,-0.086721
253,-0.085241
254,-0.091334
255,-0.088276
256,-0.087453
257,-0.091811
258,-0.098271
259,-0.090930
260,-0.085534
261,-0.077040
262,-0.086992
263,-0.084659
264,-0.083534
265,-0.085893
266,-0.089463
267,-0.088128
268,-0.093321
269,-0.083067
270,-0.089495
271,-0.093233
272,-0.084117
273,-0.091852
274,-0.088936
275,-0.098623
276,-0.088560
277,-0.079163
278,-0.090893
279,-0.080719
280,-0.091519
281,-0.090371
282,-0.092813
283,-0.093647
284,-0.082185
285,-0.088580
286,-0.093229
287,-0.097488
288,-0.082391
289,-0.083967
290,-0.087243
291,-0.096385
292,-0.093845
293,-0.094293
294,-0.090127
295,-0.083121
296,-0.097025
297,-0.086150
298,-0.093088
299,-0.095931
300,-0.092205
301,-0.094737
302,-0.086821
303,-0.097659
304,-0.096556
305,-0.085361
306,-0.100016
307,-0.095935
308,-0.093818
309,-0.090858
310,-0.097802
311,-0.103840
312,-0.099899
313,-0.093526
314,-0.097535
315,-0.106607
316,-0.099223
317,-0.098188
318,-0.094371
319,-0.092171
320,-0.093492
321,-0.095573
322,-0.094641
323,-0.091152
324,-0.086643
325,-0.095291
326,-0.095590
327,-0.088637
328,-0.090542
329,-0.094912
330,-0.088504
331,-0.087954
332,-0.098552
333,-0.093272
334,-0.093526
335,-0.086125
336,-0.092283
337,-0.089575
338,-0.092528
339,-0.086741
340,-0.082541
341,-0.095905
342,-0.091118
343,-0.100385
344,-0.102955
345,-0.091960
346,-0.090836
347,-0.097140
348,-0.092990
349,-0.092392
350,-0.083139
351,-0.092249
352,-0.092361
353,-0.096856
354,-0.097281
355,-0.097272
356,-0.097125
357,-0.103090
358,-0.102757
359,-0.097205
360,-0.093936
361,-0.101907
362,-0.095714
363,-0.096225
364,-0.093254
365,-0.098917
366,-0.087934
367,-0.096483
368,-0.095399
369,-0.094056
370,-0.101362
371,-0.098501
372,-0.098890
373,-0.099014
374,-0.105895
375,-0.099964
376,-0.092604
377,-0.103437
378,-0.100246
379,-0.105012
380,-0.100809
381,-0.104727
382,-0.101690
383,-0.107060
384,-0.090174
385,-0.103789
386,-0.101370
387,-0.109464
388,-0.100336
389,-0.098281
390,-0.104528
391,-0.103012
392,-0.101397
393,-0.105619
394,-0.102223
395,-0.099488
396,-0.099191
397,-0.100291
398,-0.096942
399,-0.099015
400,-0.087335
401,-0.096157
402,-0.092502
403,-0.094274
404,-0.096185
405,-0.087840
406,-0.092208
407,-0.089518
408,-0.091736
409,-0.094017
410,-0.095627
411,-0.099827
412,-0.090943
413,-0.087989
414,-0.089219
415,-0.081254
416,-0.086796
417,-0.089520
418,-0.098371
419,-0.093127
420,-0.098332
421,-0.088275
422,-0.089812
423,-0.091566
424,-0.093663
425,-0.096297
426,-0.101527
427,-0.091344
428,-0.088842
429,-0.105554
430,-0.091164
431,-0.093935
432,-0.098309
433,-0.095885
434,-0.088478
435,-0.090333
436,-0.093339
437,-0.094668
438,-0.083099
439,-0.088101
440,-0.084265
441,-0.086624
442,-0.097684
443,-0.080296
444,-0.088284
445,-0.092828
446,-0.088760
447,-0.086232
448,-0.086014
449,-0.079769
450,-0.076518
451,-0.084277
452,-0.077310
453,-0.083645
454,-0.085609
455,-0.083655
456,-0.077847
457,-0.071141
458,-0.080619
459,-0.073509
460,-0.081260
461,-0.082857
462,-0.079445
463,-0.073727
464,-0.076103
465,-0.079459
466,-0.095117
467,-0.082673
468,-0.079769
469,-0.074750
470,-0.079181
471,-0.080298
472,-0.082987
473,-0.081185
474,-0.089174
475,-0.082681
476,-0.073265
477,-0.086623
478,-0.076048
479,-0.074403
480,-0.081200
481,-0.080249
482,-0.078396
483,-0.082618
484,-0.073011
485,-0.079242
486,-0.079174
487,-0.078124
488,-0.079109
489,-0.071679
490,-0.080885
491,-0.073432
492,-0.073846
493,-0.079100
494,-0.082353
495,-0.090845
496,-0.079951
497,-0.087433
498,-0.077110
499,-0.080196
500,-0.082499
501,-0.075520
502,-0.068867
503,-0.075363
504,-0.079650
