Frame,Mean
0,0.003633
1,0.011526
2,0.010049
3,0.007456
4,0.007205
5,-0.001342
6,0.002784
7,0.001810
8,-0.001687
9,-0.003384
10,0.000653
11,0.003500
12,0.000141
13,-0.001201
14,0.004543
15,-0.000265
16,-0.005270
17,-0.005025
18,-0.007185
19,-0.006458
20,-0.000420
21,-0.003663
22,-0.003321
23,-0.007619
24,-0.015124
25,-0.013285
26,-0.011415
27,-0.016222
28,-0.006390
29,-0.007843
30,-0.021670
31,-0.009711
32,-0.010912
33,-0.016535
34,-0.011404
35,-0.010107
36,-0.011338
37,-0.012402
38,-0.009092
39,-0.017753
40,-0.019031
41,-0.015799
42,-0.016173
43,-0.018063
44,-0.010790
45,-0.016943
46,-0.009785
47,-0.010195
48,-0.024502
49,-0.016292
50,-0.023445
51,-0.012838
52,-0.016681
53,-0.008608
54,-0.014450
55,-0.011618
56,-0.007481
57,-0.003828
58,-0.004755
59,-0.008314
60,0.003866
61,-0.002339
62,-0.003504
63,0.002503
64,0.000648
65,0.006989
66,0.003108
67,0.004505
68,0.000826
69,-0.004049
70,-0.000367
71,0.012739
72,0.012564
73,0.009732
74,0.006321
75,0.003859
76,0.012389
77,0.008930
78,0.010192
79,0.021880
80,0.008522
81,0.022092
82,0.014306
83,0.019911
84,0.027763
85,0.017251
86,0.026545
87,0.031253
88,0.018024
89,0.023041
90,0.022560
91,0.035941
92,0.022931
93,0.022444
94,0.024609
95,0.030194
96,0.032127
97,0.024895
98,0.032752
99,0.024474
100,0.027134
101,0.038959
102,0.032934
103,0.031590
104,0.027956
105,0.030260
106,0.027233
107,0.036047
108,0.034222
109,0.041032
110,0.037769
111,0.030785
112,0.032343
113,0.030789
114,0.037690
115,0.032225
116,0.045161
117,0.040538
118,0.041885
119,0.041622
120,0.044046
121,0.053122
122,0.045260
123,0.053712
124,0.051182
125,0.055566
126,0.057864
127,0.057561
128,0.064291
129,0.062693
130,0.060779
131,0.053212
132,0.061817
133,0.063678
134,0.062329
135,0.059201
136,0.066241
137,0.072168
138,0.067143
139,0.070056
140,0.065497
141,0.071925
142,0.072107
143,0.072223
144,0.075259
145,0.076814
146,0.073207
147,0.072605
148,0.073090
149,0.066223
150,0.083558
151,0.067560
152,0.073105
153,0.087334
154,0.079107
155,0.084058
156,0.068046
157,0.086478
158,0.087600
159,0.084801
160,0.087395
161,0.092225
162,0.092051
163,0.093096
164,0.101657
165,0.101697
166,0.109941
167,0.107575
168,0.098994
169,0.105259
170,0.101703
171,0.105872
172,0.110327
173,0.106650
174,0.120380
175,0.114975
176,0.122592
177,0.121202
178,0.116187
179,0.123787
180,0.127488
181,0.128075
182,0.126804
183,0.134925
184,0.133244
185,0.131490
186,0.126398
187,0.134365
188,0.125940
189,0.134332
190,0.140696
191,0.122570
192,0.124855
193,0.132763
194,0.125262
195,0.136683
196,0.131360
197,0.145086
198,0.129307
199,0.136563
200,0.143456
201,0.136724
202,0.143912
203,0.145743
204,0.138845
205,0.139065
206,0.147147
207,0.141857
208,0.145682
209,0.145901
210,0.141310
211,0.143197
212,0.147018
213,0.145776
214,0.153841
215,0.146618
216,0.145805
217,0.151791
218,0.158482
219,0.147093
220,0.159621
221,0.163651
222,0.162410
223,0.167652
224,0.159239
225,0.157420
226,0.164607
227,0.175746
228,0.165643
229,0.170519
230,0.165733
231,0.167505
232,0.169552
233,0.170456
234,0.179309
235,0.183409
236,0.178630
237,0.184332
238,0.180910
239,0.181386
240,0.183298
241,0.184172
242,0.187233
243,0.184483
244,0.186609
245,0.193769
246,0.179889
247,0.185651
248,0.182105
249,0.183680
250,0.190979
251,0.179820
252,0.191629
253,0.198672
254,0.199134
255,0.196342
256,0.192155
257,0.188331
258,0.196793
259,0.197897
260,0.195200
261,0.199777
262,0.200283
263,0.192174
264,0.195996
265,0.207792
266,0.197734
267,0.207123
268,0.201326
269,0.210210
270,0.214457
271,0.210827
272,0.215791
273,0.208124
274,0.213731
275,0.214199
276,0.209601
277,0.212063
278,0.223126
279,0.211121
280,0.218276
281,0.219619
282,0.223148
283,0.219066
284,0.226605
285,0.227213
286,0.226788
287,0.229344
288,0.228721
289,0.228913
290,0.232770
291,0.223327
292,0.233238
293,0.227160
294,0.230838
295,0.237473
296,0.225328
297,0.238813
298,0.235482
299,0.238974
300,0.236859
301,0.237144
302,0.236992
303,0.238994
304,0.234164
305,0.225838
306,0.235080
307,0.235835
308,0.228566
309,0.235999
310,0.246961
311,0.232259
312,0.241226
313,0.246882
314,0.243722
315,0.239310
316,0.240507
317,0.243721
318,0.245309
319,0.245182
320,0.250692
321,0.238356
322,0.241772
323,0.237992
324,0.241628
325,0.254787
326,0.242828
327,0.243327
328,0.251464
329,0.255424
330,0.254720
331,0.245649
332,0.249347
333,0.258910
334,0.253586
335,0.254079
336,0.254947
337,0.256144
338,0.252552
339,0.251939
340,0.260607
341,0.255353
342,0.260873
343,0.256038
344,0.253318
345,0.254832
346,0.252090
347,0.258639
348,0.256311
349,0.252633
350,0.249503
351,0.250206
352,0.251908
353,0.258769
354,0.259099
355,0.254064
356,0.256508
357,0.248778
358,0.251881
359,0.260259
360,0.255101
361,0.260721
362,0.262322
363,0.269715
364,0.266786
365,0.260600
366,0.256948
367,0.264690
368,0.261995
369,0.263806
370,0.265521
371,0.257361
372,0.264142
373,0.260327
374,0.264335
375,0.263885
376,0.258642
377,0.271944
378,0.270611
379,0.270748
380,0.270559
381,0.259869
382,0.261118
383,0.265948
384,0.262648
385,0.266459
386,0.262160
387,0.264519
388,0.264508
389,0.274889
390,0.271515
391,0.265694
392,0.269727
393,0.268786
394,0.269529
395,0.265312
396,0.268785
397,0.273580
398,0.279071
399,0.277546
400,0.278499
401,0.278219
402,0.277420
403,0.278015
404,0.274866
405,0.274684
406,0.269812
407,0.281400
408,0.278956
409,0.280849
410,0.286675
411,0.281439
412,0.284934
413,0.272076
414,0.284887
415,0.280380
416,0.279720
417,0.286847
418,0.281579
419,0.282797
420,0.283125
421,0.273622
422,0.278829
423,0.277613
424,0.277301
425,0.275651
426,0.271906
427,0.279883
428,0.274779
429,0.281341
430,0.272549
431,0.279717
432,0.281699
433,0.282943
434,0.279828
435,0.286849
436,0.282481
437,0.282071
438,0.279285
439,0.275308
440,0.277225
441,0.275308
442,0.264225
443,0.275350
444,0.256368
445,0.263578
446,0.277783
447,0.284128
448,0.271743
449,0.275733
450,0.269868
451,0.286984
452,0.283298
453,0.274796
454,0.275478
455,0.276007
456,0.270925
457,0.279440
458,0.283624
459,0.274032
460,0.272008
461,0.274586
462,0.274587
463,0.272008
464,0.280775
465,0.271331
466,0.278901
467,0.274604
468,0.273324
469,0.269698
470,0.270086
471,0.278573
472,0.271565
473,0.274072
474,0.269839
475,0.270221
476,0.272984
477,0.264225
478,0.257032
479,0.266258
480,0.262180
481,0.271767
482,0.273185
483,0.267566
484,0.263235
485,0.262914
486,0.262284
487,0.261745
488,0.263680
489,0.263854
490,0.258292
491,0.257827
492,0.257592
493,0.263286
494,0.254551
495,0.254068
496,0.255724
497,0.243913
498,0.248145
499,0.261694
500,0.257790
501,0.257610
502,0.260027
503,0.250971
504,0.259413
505,0.247882
506,0.253973
507,0.258928
508,0.249478
509,0.248622
510,0.255695
511,0.256132
512,0.255100
513,0.258047
514,0.261047
515,0.257523
516,0.258826
517,0.247473
518,0.252161
519,0.251604
520,0.256097
521,0.252333
522,0.237818
523,0.255611
524,0.251022
525,0.245628
526,0.244214
527,0.247928
528,0.251299
529,0.251890
530,0.252193
531,0.255176
532,0.250582
533,0.258347
534,0.249122
535,0.246726
536,0.253248
537,0.256046
538,0.255259
539,0.254976
540,0.247881
541,0.249332
542,0.246832
543,0.243733
544,0.241433
545,0.242493
546,0.244980
547,0.247122
548,0.255647
549,0.248937
550,0.244158
551,0.250353
552,0.252540
553,0.249188
554,0.252758
555,0.253785
556,0.257675
557,0.251985
558,0.254174
559,0.244635
560,0.249611
561,0.247333
562,0.247122
563,0.254490
564,0.251116
565,0.241468
566,0.246356
567,0.253379
568,0.253864
569,0.248131
570,0.249308
571,0.249500
572,0.246488
573,0.248564
574,0.243373
575,0.249658
576,0.254456
577,0.257970
578,0.251260
579,0.247053
580,0.249363
581,0.244257
582,0.246621
583,0.247419
584,0.244228
585,0.239376
586,0.251955
587,0.248748
588,0.239893
589,0.251067
590,0.246348
591,0.247589
592,0.238156
593,0.238596
594,0.244372
595,0.232513
596,0.238014
597,0.237303
598,0.237829
599,0.239171
600,0.244885
601,0.244584
602,0.243875
603,0.239748
604,0.230948
605,0.243140
606,0.237645
607,0.239774
608,0.238256
609,0.245862
610,0.241614
611,0.250242
612,0.241574
613,0.238505
614,0.230247
615,0.239271
616,0.239284
617,0.247136
618,0.247013
619,0.239016
620,0.236480
621,0.235872
622,0.237044
623,0.240739
624,0.236747
625,0.246944
626,0.227017
627,0.239728
628,0.236607
629,0.244750
630,0.234899
631,0.238490
632,0.241874
633,0.235099
634,0.241765
635,0.236030
636,0.236316
637,0.228289
638,0.228306
639,0.230280
640,0.224861
641,0.223880
642,0.224906
643,0.236280
644,0.241249
645,0.230015
646,0.227785
647,0.230304
648,0.230296
649,0.237075
650,0.232327
651,0.229950
652,0.227152
653,0.235850
654,0.240408
655,0.234711
656,0.231647
657,0.227682
658,0.227340
659,0.229591
660,0.227462
661,0.227279
662,0.219643
663,0.227622
664,0.227555
665,0.226084
666,0.229387
667,0.223021
668,0.229212
669,0.237712
670,0.222268
671,0.232238
672,0.229936
673,0.219793
674,0.226374
675,0.235929
676,0.231651
677,0.218188
678,0.221369
679,0.223801
680,0.220420
681,0.229043
682,0.223968
683,0.214865
684,0.221643
685,0.223276
686,0.219107
687,0.227028
688,0.215551
689,0.221035
690,0.220944
691,0.221797
692,0.226855
693,0.219798
694,0.216293
695,0.221120
696,0.216210
697,0.212609
698,0.212889
699,0.215852
700,0.210909
701,0.215692
702,0.218671
703,0.218228
704,0.212074
705,0.218622
706,0.212564
707,0.204553
708,0.220668
709,0.220412
710,0.212204
711,0.220057
712,0.209383
713,0.204175
714,0.212446
715,0.217287
716,0.214382
717,0.214690
718,0.220148
719,0.219431
720,0.216821
721,0.210287
722,0.207630
723,0.215649
724,0.204246
725,0.211641
726,0.219130
727,0.217836
728,0.207299
729,0.213635
730,0.211206
731,0.220677
732,0.208868
733,0.220054
734,0.217052
735,0.211965
736,0.211616
737,0.210044
738,0.211757
739,0.204548
740,0.208798
741,0.202828
742,0.202473
743,0.201298
744,0.204617
745,0.205203
746,0.197893
747,0.189538
748,0.198415
749,0.198410
750,0.200074
751,0.194095
752,0.188657
753,0.189023
754,0.194738
755,0.189157
756,0.194996
757,0.195803
758,0.194398
759,0.184540
760,0.190884
761,0.185489
762,0.183434
763,0.182249
764,0.188983
765,0.184870
766,0.186913
767,0.186192
768,0.175244
769,0.169137
770,0.171791
771,0.179568
772,0.174066
773,0.180118
774,0.172396
775,0.177804
776,0.172921
777,0.177279
778,0.173416
779,0.167593
780,0.165799
781,0.177534
782,0.162544
783,0.171503
784,0.158344
785,0.169260
786,0.166762
787,0.173374
788,0.169354
789,0.171670
790,0.163650
791,0.163606
792,0.177223
793,0.166681
794,0.163607
795,0.167572
796,0.157522
797,0.153296
798,0.161038
799,0.153882
800,0.150878
801,0.150042
802,0.149448
803,0.158102
804,0.152647
805,0.153493
806,0.152834
807,0.151566
808,0.152112
809,0.157043
810,0.145921
811,0.150542
812,0.152193
813,0.150176
814,0.140923
815,0.140808
816,0.139346
817,0.145164
818,0.140050
819,0.134427
820,0.145149
821,0.138804
822,0.139653
823,0.131323
824,0.122976
825,0.124867
826,0.112559
827,0.113915
828,0.104045
829,0.113980
830,0.102878
831,0.103041
832,0.100646
833,0.103397
834,0.100420
835,0.097967
836,0.097331
837,0.098567
838,0.094388
839,0.089008
840,0.080946
841,0.081128
842,0.078256
843,0.083415
844,0.087376
845,0.084634
846,0.088597
847,0.082843
848,0.085999
849,0.077119
850,0.095200
851,0.078808
852,0.083201
853,0.074732
854,0.077001
855,0.084221
