Frame,Mean
0,0.012777
1,0.015062
2,0.009138
3,0.012071
4,0.003041
5,0.007955
6,0.007806
7,0.003231
8,0.006551
9,0.000091
10,-0.000269
11,0.003994
12,0.003774
13,-0.002959
14,-0.008277
15,-0.006510
16,-0.004366
17,-0.009824
18,-0.003217
19,-0.014316
20,-0.014556
21,-0.015884
22,-0.016304
23,-0.013246
24,-0.020764
25,-0.018238
26,-0.011891
27,-0.023633
28,-0.023192
29,-0.023431
30,-0.020413
31,-0.024397
32,-0.028446
33,-0.034642
34,-0.024204
35,-0.025535
36,-0.030044
37,-0.033799
38,-0.032512
39,-0.033958
40,-0.031456
41,-0.033688
42,-0.031967
43,-0.038409
44,-0.035098
45,-0.033723
46,-0.037508
47,-0.029439
48,-0.035440
49,-0.040129
50,-0.036721
51,-0.039818
52,-0.040865
53,-0.041682
54,-0.047407
55,-0.044689
56,-0.048716
57,-0.047275
58,-0.045582
59,-0.039487
60,-0.042237
61,-0.058747
62,-0.050883
63,-0.052415
64,-0.050822
65,-0.053433
66,-0.057657
67,-0.053727
68,-0.048801
69,-0.052852
70,-0.053833
71,-0.056337
72,-0.057595
73,-0.059533
74,-0.052112
75,-0.056433
76,-0.060940
77,-0.061799
78,-0.064967
79,-0.056340
80,-0.064481
81,-0.065461
82,-0.059739
83,-0.059409
84,-0.064295
85,-0.061567
86,-0.058736
87,-0.067628
88,-0.059532
89,-0.063458
90,-0.065595
91,-0.059460
92,-0.069300
93,-0.064589
94,-0.069679
95,-0.066690
96,-0.070912
97,-0.066316
98,-0.063601
99,-0.063891
100,-0.066062
101,-0.062859
102,-0.063607
103,-0.063906
104,-0.065373
105,-0.067356
106,-0.062232
107,-0.066460
108,-0.070088
109,-0.071046
110,-0.067930
111,-0.070961
112,-0.072252
113,-0.067660
114,-0.072570
115,-0.071455
116,-0.068152
117,-0.073531
118,-0.080577
119,-0.071691
120,-0.070330
121,-0.073202
122,-0.075531
123,-0.071429
124,-0.075191
125,-0.077216
126,-0.076846
127,-0.074060
128,-0.076826
129,-0.075375
130,-0.076240
131,-0.083913
132,-0.078806
133,-0.080631
134,-0.084090
135,-0.080924
