Frame,Mean
0,0.002759
1,0.000744
2,-0.002032
3,-0.005556
4,0.003382
5,0.001631
6,-0.000573
7,-0.003537
8,-0.008014
9,0.003371
10,0.000608
11,0.006386
12,-0.003238
13,-0.000398
14,0.000051
15,-0.001915
16,-0.002983
17,0.006058
18,0.005510
19,0.009382
20,-0.006460
21,0.002569
22,0.008738
23,0.004261
24,-0.002291
25,0.005980
26,0.012881
27,0.015373
28,0.010926
29,0.004097
30,0.012112
31,0.008558
32,0.012801
33,0.014850
34,0.017686
35,0.008644
36,0.008927
37,0.017608
38,0.023456
39,0.010389
40,0.022440
41,0.014389
42,0.014220
43,0.005926
44,0.013684
45,0.010753
46,0.019448
47,0.019745
48,0.013987
49,0.017726
50,0.011717
51,0.016306
52,0.020900
53,0.011885
54,0.013003
55,0.019647
56,0.016312
57,0.021438
58,0.017040
59,0.025607
60,0.019785
61,0.018564
62,0.020416
63,0.012382
64,0.017913
65,0.019922
66,0.024298
67,0.024035
68,0.022624
69,0.014381
70,0.016514
71,0.028373
72,0.023375
73,0.014560
74,0.022028
75,0.016616
76,0.019886
77,0.024325
78,0.017489
79,0.024938
80,0.012108
81,0.017549
82,0.016548
83,0.015957
84,0.020192
85,0.018269
86,0.010523
87,0.015773
88,0.017603
89,0.011942
90,0.023731
91,0.013488
92,0.021507
93,0.016172
94,0.006249
95,0.005868
96,0.010389
97,0.018700
98,0.010377
99,0.010100
100,0.013281
101,0.009455
102,0.012363
103,0.012861
104,0.005040
105,0.009743
106,-0.000897
107,0.009748
108,0.012831
109,0.011488
110,0.000531
111,0.008054
112,0.004030
113,0.001379
114,0.005575
115,0.007336
116,0.010769
117,0.001115
118,0.012355
119,0.006045
120,0.001161
121,0.007471
122,0.006232
123,0.010295
124,0.006026
125,-0.002226
126,0.003203
127,0.004988
128,0.007095
129,0.003111
130,0.001364
131,-0.001640
132,-0.001101
133,-0.002876
134,0.001737
135,0.000331
136,-0.000019
137,-0.001922
138,-0.000916
139,0.005850
140,0.001089
141,0.014592
142,-0.000458
143,0.003843
144,-0.007404
145,0.002907
146,0.001194
147,-0.002989
148,0.000023
149,0.007408
150,0.004321
151,-0.003316
152,-0.004105
153,-0.002148
154,-0.000961
155,-0.000908
156,-0.008200
157,-0.002690
158,-0.008256
159,-0.004105
160,-0.013789
161,-0.001880
162,0.000621
163,-0.007562
164,-0.001138
165,0.003783
166,-0.004272
167,-0.005816
168,-0.003138
169,-0.004515
170,-0.009660
171,-0.017216
172,-0.002386
173,-0.007437
174,-0.002353
175,-0.001480
176,-0.011642
177,-0.015279
178,-0.015676
179,-0.015664
180,-0.009441
181,-0.009102
182,-0.016782
183,-0.020586
184,-0.023621
185,-0.023915
186,-0.025160
187,-0.013703
188,-0.020645
189,-0.017720
190,-0.011040
191,-0.016142
192,-0.022482
193,-0.011210
194,-0.013536
195,-0.024477
196,-0.016185
197,-0.020224
198,-0.015729
199,-0.016283
200,-0.021743
201,-0.010815
202,-0.019482
203,-0.015944
204,-0.021126
205,-0.027328
206,-0.024951
207,-0.023997
208,-0.020755
209,-0.025073
210,-0.022528
211,-0.021380
212,-0.019571
213,-0.017054
214,-0.021107
215,-0.025063
216,-0.021583
217,-0.025157
218,-0.033129
219,-0.028516
220,-0.025131
221,-0.026619
222,-0.021324
223,-0.021700
224,-0.031602
225,-0.023079
226,-0.029572
227,-0.029139
228,-0.021186
229,-0.025884
230,-0.021334
231,-0.020928
232,-0.023541
233,-0.022077
234,-0.027834
235,-0.024381
236,-0.026748
237,-0.026094
238,-0.025615
239,-0.029565
240,-0.028520
241,-0.027509
242,-0.034431
243,-0.035420
244,-0.031826
245,-0.031534
246,-0.027463
247,-0.031645
248,-0.031251
249,-0.033494
250,-0.038244
251,-0.033182
252,-0.036432
253,-0.045269
254,-0.043705
255,-0.043848
256,-0.041120
257,-0.040132
258,-0.052890
259,-0.055965
260,-0.047396
261,-0.060164
262,-0.058145
263,-0.058568
264,-0.059666
265,-0.056457
266,-0.069275
267,-0.062167
268,-0.061259
269,-0.061943
270,-0.061105
271,-0.055515
272,-0.054096
273,-0.055802
274,-0.055102
275,-0.057225
276,-0.055767
277,-0.057175
278,-0.054433
279,-0.053708
280,-0.058695
281,-0.053481
282,-0.051435
283,-0.056594
284,-0.052597
285,-0.054446
286,-0.053427
287,-0.063271
288,-0.048608
289,-0.050755
290,-0.062905
291,-0.050182
292,-0.046281
293,-0.052557
294,-0.046660
295,-0.060336
296,-0.055639
297,-0.048167
298,-0.054472
299,-0.053826
300,-0.048084
301,-0.052015
302,-0.052086
303,-0.047721
304,-0.051828
305,-0.057366
306,-0.052777
307,-0.048575
308,-0.056179
309,-0.059799
310,-0.054640
311,-0.054156
312,-0.049605
313,-0.058489
314,-0.052217
315,-0.052840
316,-0.057773
317,-0.051941
318,-0.056654
319,-0.053759
320,-0.065242
321,-0.053826
322,-0.055747
323,-0.054515
324,-0.054262
325,-0.055989
326,-0.061222
327,-0.060911
328,-0.063525
329,-0.057931
330,-0.055340
331,-0.053481
332,-0.056453
333,-0.054370
334,-0.049670
335,-0.050224
336,-0.053457
337,-0.044453
338,-0.050320
339,-0.048948
340,-0.051425
341,-0.055972
342,-0.059095
343,-0.052233
344,-0.041696
345,-0.053009
346,-0.058467
347,-0.047757
348,-0.041259
349,-0.054795
350,-0.052482
351,-0.057021
352,-0.042603
353,-0.054228
354,-0.049694
355,-0.051464
356,-0.045231
357,-0.051824
358,-0.055830
359,-0.046194
360,-0.051730
361,-0.057024
362,-0.057494
363,-0.045402
364,-0.051651
365,-0.049931
366,-0.061451
367,-0.048617
368,-0.048873
369,-0.057022
370,-0.054753
371,-0.043715
372,-0.045478
373,-0.050864
374,-0.047235
375,-0.039991
376,-0.043460
377,-0.051902
378,-0.046880
379,-0.053829
380,-0.051398
381,-0.044751
382,-0.044397
383,-0.051078
384,-0.044591
385,-0.048284
386,-0.050928
387,-0.042051
388,-0.050121
389,-0.045016
390,-0.043092
391,-0.049365
392,-0.044841
393,-0.050797
394,-0.042929
395,-0.045362
396,-0.047492
397,-0.044521
398,-0.038535
399,-0.038108
400,-0.035915
401,-0.037272
402,-0.045790
403,-0.037415
404,-0.045955
405,-0.032238
406,-0.035993
407,-0.039059
408,-0.038258
409,-0.039851
410,-0.043869
411,-0.035943
412,-0.039938
413,-0.039270
414,-0.032214
415,-0.041318
416,-0.032387
417,-0.037301
418,-0.042713
419,-0.027966
420,-0.049151
421,-0.031432
422,-0.037885
423,-0.031106
424,-0.033518
425,-0.032473
426,-0.026639
427,-0.034568
428,-0.024935
429,-0.028307
430,-0.028268
431,-0.025786
432,-0.025349
433,-0.026182
434,-0.021850
435,-0.027400
436,-0.018520
437,-0.022008
438,-0.018629
439,-0.014285
440,-0.016800
441,-0.019542
442,-0.013099
443,-0.016411
444,-0.017419
445,-0.015132
446,-0.012010
447,-0.017268
448,-0.017461
449,-0.014942
450,-0.014550
451,-0.011891
452,-0.015175
453,-0.022094
454,-0.007652
455,-0.010341
456,-0.013218
457,-0.008821
458,-0.006492
459,-0.005304
460,-0.006099
461,-0.013109
462,-0.001571
463,-0.014086
464,-0.015818
465,-0.005825
466,-0.011275
467,-0.008420
468,-0.007748
469,-0.001875
470,-0.000213
471,0.002072
472,-0.004820
473,-0.002632
474,-0.000230
475,-0.001971
476,-0.003411
477,-0.001965
478,-0.002338
479,-0.003360
480,0.006064
481,0.003555
482,0.003972
483,0.000076
484,0.004723
485,0.017548
486,0.003885
487,0.006268
488,0.002353
489,0.007708
490,0.010958
491,0.005393
492,0.010572
493,0.008218
494,0.014682
495,0.005902
496,0.011055
497,0.015250
498,0.006602
499,0.014216
500,0.012813
501,0.013464
502,0.016328
503,0.009219
504,0.017015
505,0.019341
506,0.017147
507,0.016725
508,0.019999
509,0.012484
510,0.016597
511,0.018932
512,0.025517
513,0.017933
514,0.014408
515,0.015920
516,0.022938
517,0.017411
518,0.022475
519,0.007669
520,0.024389
521,0.017223
522,0.010637
523,0.020763
524,0.020272
525,0.030011
526,0.018468
527,0.020088
528,0.021996
529,0.027806
530,0.029017
531,0.033213
532,0.030782
533,0.029293
534,0.024182
535,0.034959
536,0.026816
537,0.030354
538,0.032693
539,0.031611
540,0.035679
541,0.035246
542,0.034528
543,0.028203
544,0.032318
545,0.034404
546,0.033171
547,0.035604
548,0.035914
549,0.032912
550,0.037984
551,0.043343
552,0.036231
553,0.040394
554,0.035302
555,0.030881
556,0.037138
557,0.037410
558,0.040940
559,0.035192
560,0.044805
561,0.047188
562,0.046422
563,0.044278
564,0.048490
565,0.037130
566,0.049533
567,0.043555
568,0.047378
569,0.055067
570,0.047804
571,0.054083
572,0.049653
573,0.061476
574,0.059897
575,0.058291
576,0.059921
577,0.060260
578,0.056891
579,0.049121
580,0.056947
581,0.054234
582,0.053668
583,0.056391
584,0.064171
585,0.062917
586,0.054176
587,0.064023
588,0.066508
589,0.061075
590,0.062705
591,0.066803
592,0.062215
593,0.067397
594,0.064487
595,0.066499
596,0.069680
597,0.070632
598,0.068167
599,0.084803
600,0.075600
601,0.074702
602,0.082460
603,0.074026
604,0.087476
605,0.079727
606,0.086335
607,0.091189
608,0.082130
609,0.098153
610,0.085587
611,0.088892
612,0.098525
613,0.089226
614,0.084731
615,0.089896
616,0.102876
617,0.094865
618,0.091293
619,0.092643
620,0.108141
621,0.097590
622,0.104437
623,0.101998
624,0.103035
625,0.114401
626,0.101172
627,0.104102
628,0.109527
629,0.111612
630,0.106779
631,0.114338
632,0.112603
633,0.113524
634,0.110267
635,0.107412
636,0.122699
637,0.112719
638,0.115767
639,0.118502
640,0.113197
641,0.122515
642,0.113814
643,0.123586
644,0.112085
645,0.114136
646,0.116247
