Frame,Mean
0,-0.011790
1,-0.016148
2,-0.012894
3,-0.011378
4,-0.005912
5,-0.005278
6,-0.003627
7,-0.007456
8,-0.004999
9,-0.002908
10,-0.005266
11,-0.002391
12,0.003242
13,0.008426
14,0.007121
15,0.012527
16,0.014177
17,0.013372
18,0.017329
19,0.018584
20,0.021426
21,0.016827
22,0.018285
23,0.019233
24,0.021342
25,0.023288
26,0.025410
27,0.029884
28,0.031971
29,0.027740
30,0.031727
31,0.037641
32,0.031154
33,0.029460
34,0.030989
35,0.031662
36,0.031616
37,0.034383
38,0.039238
39,0.032962
40,0.034868
41,0.037328
42,0.027908
43,0.033671
44,0.031638
45,0.033239
46,0.039178
47,0.032960
48,0.040998
49,0.040617
50,0.036721
51,0.035994
52,0.027817
53,0.035375
54,0.033500
55,0.042267
56,0.039697
57,0.042257
58,0.041448
59,0.040709
60,0.042663
61,0.039279
62,0.041287
63,0.046751
64,0.046559
65,0.045549
66,0.047666
67,0.044258
68,0.043574
69,0.037991
70,0.034751
71,0.032540
72,0.035070
73,0.034293
74,0.035144
75,0.035922
76,0.033695
77,0.032043
78,0.026332
79,0.029647
80,0.029167
81,0.030233
82,0.029394
83,0.031115
84,0.030864
85,0.034313
86,0.031715
87,0.038300
88,0.028536
89,0.033951
90,0.030059
91,0.033522
92,0.035169
93,0.029719
94,0.032456
95,0.036591
96,0.033101
97,0.036416
98,0.030408
99,0.037381
100,0.034216
101,0.031378
102,0.030132
103,0.036411
104,0.034239
105,0.040923
106,0.041042
107,0.037463
108,0.040169
109,0.033489
110,0.041724
111,0.038579
112,0.035026
113,0.034211
114,0.038632
115,0.039641
116,0.035868
117,0.040378
118,0.038287
119,0.044032
120,0.041297
121,0.041105
122,0.042956
123,0.039790
124,0.038015
125,0.039684
126,0.039895
127,0.040737
128,0.032232
129,0.036397
130,0.036220
131,0.037622
132,0.037863
133,0.038441
134,0.033897
135,0.037853
136,0.041047
137,0.041087
138,0.036820
139,0.039171
140,0.045722
141,0.038233
142,0.038835
143,0.038284
144,0.037394
145,0.040942
146,0.047164
147,0.038459
148,0.045140
149,0.045322
150,0.050289
151,0.053696
152,0.049938
153,0.051912
154,0.048439
155,0.047954
156,0.051363
157,0.051399
158,0.050978
159,0.053896
160,0.053348
161,0.057776
162,0.058242
163,0.061107
164,0.058308
165,0.057604
166,0.059736
167,0.057228
168,0.067824
169,0.060849
170,0.058967
171,0.057112
172,0.063412
173,0.057641
174,0.050880
175,0.054826
176,0.055964
177,0.053611
178,0.054332
179,0.055403
180,0.063655
181,0.055853
182,0.064774
183,0.060937
184,0.063597
185,0.061382
186,0.065642
187,0.068578
188,0.072471
189,0.069915
190,0.070121
191,0.066985
192,0.070939
193,0.071205
194,0.068835
195,0.071615
196,0.067358
197,0.074830
198,0.072643
199,0.067189
200,0.074128
201,0.079551
202,0.074175
203,0.076412
204,0.078486
205,0.075631
206,0.082704
207,0.080685
208,0.079508
209,0.077759
210,0.080179
211,0.085663
212,0.082857
213,0.082066
214,0.081184
215,0.080255
216,0.081353
217,0.082654
218,0.081279
219,0.077552
220,0.078127
221,0.076619
222,0.071930
223,0.082199
224,0.080120
225,0.086301
226,0.085406
227,0.087997
228,0.092313
229,0.092628
230,0.089710
231,0.091702
232,0.089018
233,0.092224
234,0.095351
235,0.090014
236,0.089157
237,0.096681
238,0.091199
239,0.095392
240,0.091385
241,0.094395
242,0.094597
243,0.092634
244,0.094976
245,0.101360
246,0.095241
247,0.100369
248,0.101503
249,0.099204
250,0.097220
251,0.096441
252,0.094762
253,0.093317
254,0.090359
255,0.103224
256,0.097682
257,0.096813
258,0.096146
259,0.091685
260,0.093615
261,0.095385
262,0.093857
263,0.096012
264,0.101634
265,0.103566
266,0.102802
267,0.111442
268,0.105789
269,0.111366
270,0.111050
271,0.112172
272,0.113014
273,0.116368
274,0.111184
275,0.112132
276,0.114457
277,0.115671
278,0.104183
279,0.110995
280,0.106102
281,0.107477
282,0.111164
283,0.115168
284,0.107839
285,0.110657
286,0.107807
287,0.108756
288,0.108833
289,0.107858
290,0.109950
291,0.104095
292,0.108084
293,0.108898
294,0.104693
295,0.107657
296,0.111111
297,0.106104
298,0.104557
299,0.108657
300,0.102895
301,0.102673
302,0.112121
303,0.107793
304,0.107329
305,0.106904
306,0.108392
307,0.106760
308,0.100310
309,0.106634
310,0.107918
311,0.105416
312,0.104087
313,0.103597
314,0.105585
315,0.106703
316,0.110691
317,0.105871
318,0.109978
319,0.103527
320,0.103890
321,0.111063
322,0.111221
323,0.109974
324,0.115607
325,0.122307
326,0.122833
327,0.120336
328,0.119400
329,0.123089
330,0.123440
331,0.122581
332,0.122004
333,0.126803
334,0.127310
335,0.123770
336,0.124806
337,0.126273
338,0.129700
339,0.127372
340,0.128418
341,0.131456
342,0.133631
343,0.130189
344,0.131437
345,0.134800
346,0.134793
347,0.137361
348,0.137653
349,0.133272
350,0.138300
351,0.135783
352,0.136841
353,0.135947
354,0.131451
355,0.135578
356,0.138132
357,0.130978
358,0.135992
359,0.129907
360,0.133762
361,0.125520
362,0.127954
363,0.131159
364,0.127576
365,0.128739
