Frame,Mean
0,-0.010317
1,-0.009953
2,0.006235
3,-0.000140
4,-0.001179
5,-0.006362
6,-0.008771
7,0.010709
8,0.005351
9,-0.001827
10,-0.004598
11,-0.003853
12,-0.001257
13,0.007855
14,0.011989
15,0.007357
16,0.007105
17,-0.006738
18,0.011480
19,0.009489
20,0.016799
21,0.000817
22,0.016553
23,0.014952
24,0.007774
25,0.009352
26,0.011136
27,0.013169
28,0.020273
29,0.003742
30,0.005152
31,0.020930
32,0.002815
33,0.017880
34,0.005937
35,0.011526
36,0.005239
37,0.023847
38,0.021429
39,0.012483
40,0.018352
41,0.018673
42,0.016717
43,0.021808
44,0.012397
45,0.023470
46,0.026530
47,0.025614
48,0.020051
49,0.019480
50,0.023734
51,0.028374
52,0.013586
53,0.027640
54,0.032301
55,0.021925
56,0.035587
57,0.025264
58,0.028383
59,0.024416
60,0.031045
61,0.023784
62,0.025310
63,0.030972
64,0.029793
65,0.036564
66,0.023133
67,0.041399
68,0.037997
69,0.038456
70,0.034907
71,0.031624
72,0.037844
73,0.023010
74,0.039201
75,0.040994
76,0.034967
77,0.033061
78,0.033785
79,0.041984
80,0.032638
81,0.040895
82,0.036018
83,0.042774
84,0.041762
85,0.032563
86,0.035286
87,0.046303
88,0.038078
89,0.031155
90,0.040313
91,0.052159
92,0.045298
93,0.040182
94,0.052588
95,0.041666
96,0.035706
97,0.050354
98,0.049684
99,0.044728
100,0.057695
101,0.042618
102,0.050249
103,0.053425
104,0.051680
105,0.044141
106,0.054761
107,0.042852
108,0.052805
109,0.046375
110,0.043798
111,0.041542
112,0.042826
113,0.043531
114,0.054351
115,0.056470
116,0.050804
117,0.054134
118,0.043414
119,0.053187
120,0.040423
121,0.042340
122,0.038376
123,0.041060
124,0.049387
125,0.046050
126,0.039935
127,0.048916
128,0.066596
129,0.047097
130,0.049733
131,0.050909
132,0.048815
133,0.054633
134,0.041884
135,0.047905
136,0.059951
137,0.056671
138,0.057365
139,0.047543
140,0.055032
141,0.058023
142,0.049311
143,0.048001
144,0.046293
145,0.050632
146,0.061352
147,0.056892
148,0.062363
149,0.062758
150,0.060868
151,0.050081
152,0.052815
153,0.063027
154,0.046078
155,0.067021
156,0.067451
157,0.065182
158,0.058777
159,0.061150
160,0.070727
161,0.060025
162,0.062438
163,0.055029
164,0.059239
165,0.062766
166,0.060401
167,0.055376
168,0.063839
169,0.067966
170,0.067636
171,0.066497
172,0.072810
173,0.068008
174,0.069599
175,0.067319
176,0.069162
177,0.059595
178,0.064969
179,0.063863
180,0.066516
181,0.064299
182,0.072994
183,0.071167
184,0.062517
185,0.070614
186,0.062815
187,0.069081
188,0.074861
189,0.080299
190,0.073069
191,0.064945
192,0.070801
193,0.065285
194,0.061401
195,0.070553
196,0.059677
197,0.073180
198,0.060389
199,0.060374
200,0.064941
201,0.066994
202,0.072738
203,0.068410
204,0.065220
205,0.070364
206,0.078208
207,0.063134
208,0.068542
209,0.066389
210,0.071003
211,0.064925
212,0.059335
213,0.066068
214,0.063536
215,0.077619
216,0.061944
217,0.062929
218,0.074073
219,0.065879
220,0.066152
221,0.068515
222,0.059661
223,0.073443
224,0.056352
225,0.070508
226,0.076802
227,0.066813
228,0.062563
229,0.070650
230,0.068457
231,0.072764
232,0.056357
233,0.076510
234,0.065376
235,0.082013
236,0.070950
237,0.066544
238,0.075370
239,0.069334
240,0.072050
241,0.058160
242,0.061452
243,0.069123
244,0.066088
245,0.067036
246,0.069265
247,0.067146
248,0.061692
249,0.079721
250,0.063889
251,0.066745
252,0.064318
253,0.070863
254,0.070141
255,0.066539
256,0.069686
257,0.073088
258,0.072572
259,0.075998
260,0.066105
261,0.077258
262,0.069097
263,0.069960
264,0.074496
265,0.073424
266,0.069860
267,0.087769
268,0.072863
269,0.069146
270,0.061617
271,0.076117
272,0.073450
273,0.069674
274,0.079791
275,0.077934
276,0.075208
277,0.071878
278,0.078695
279,0.063771
280,0.064942
281,0.080080
282,0.071622
283,0.079779
284,0.067473
285,0.078316
286,0.069712
287,0.070080
288,0.070763
289,0.076025
290,0.083665
291,0.074340
292,0.078651
293,0.081691
294,0.070139
295,0.072022
296,0.079694
297,0.075378
298,0.073960
299,0.073849
300,0.083741
301,0.084325
302,0.080205
303,0.072727
304,0.080550
305,0.069526
306,0.071509
307,0.060176
308,0.073486
309,0.071998
310,0.074456
311,0.077201
312,0.074042
313,0.071774
314,0.068832
315,0.078081
316,0.073396
317,0.080118
318,0.085561
319,0.066481
320,0.086041
321,0.077765
322,0.083947
323,0.072035
324,0.077553
325,0.075361
326,0.080672
327,0.071178
328,0.070565
329,0.086994
330,0.070906
331,0.078889
332,0.088533
333,0.070659
334,0.067721
335,0.080480
336,0.075162
337,0.072907
338,0.075311
339,0.077088
340,0.074026
341,0.065624
342,0.072227
343,0.084532
344,0.068612
345,0.081332
346,0.070665
347,0.075522
348,0.070534
349,0.056325
350,0.065848
351,0.073331
352,0.087689
353,0.083136
354,0.086025
355,0.075818
356,0.069640
357,0.075334
358,0.085960
359,0.072487
360,0.071534
361,0.085864
362,0.069636
363,0.081031
364,0.069925
365,0.081180
366,0.078091
367,0.070041
368,0.073752
369,0.073774
370,0.062679
371,0.074951
372,0.071762
373,0.063146
374,0.076367
375,0.069464
376,0.066123
377,0.064192
378,0.070164
379,0.078252
380,0.061094
381,0.077213
382,0.077270
383,0.072350
384,0.080706
385,0.075283
386,0.070115
387,0.077444
388,0.078703
389,0.068605
390,0.084155
391,0.075638
392,0.081112
393,0.074723
394,0.078170
395,0.067624
396,0.076814
397,0.072429
398,0.063440
399,0.080961
400,0.078368
401,0.067040
402,0.076480
403,0.072022
404,0.076492
405,0.070419
406,0.075314
407,0.073812
408,0.071667
409,0.076330
410,0.085188
411,0.076839
412,0.075397
413,0.076950
414,0.082371
415,0.079155
416,0.081365
417,0.073608
418,0.082325
419,0.068834
420,0.076404
421,0.081160
422,0.075917
423,0.072964
424,0.081845
425,0.083043
426,0.075325
427,0.085308
428,0.077656
429,0.068924
430,0.075140
431,0.075826
432,0.070918
433,0.079147
434,0.080470
435,0.064891
436,0.071879
437,0.080724
438,0.063106
439,0.077649
440,0.092397
441,0.078602
442,0.091022
443,0.068884
444,0.075344
445,0.075860
446,0.076456
447,0.077361
448,0.074275
449,0.083099
450,0.068176
451,0.073929
452,0.064547
453,0.083589
454,0.082157
455,0.076478
456,0.065708
457,0.073756
458,0.076523
459,0.080798
460,0.075631
461,0.078506
462,0.074947
463,0.078004
464,0.065013
465,0.068037
466,0.084763
467,0.070331
468,0.076628
469,0.079884
470,0.073360
471,0.069402
472,0.078190
473,0.069885
474,0.071528
475,0.073338
476,0.078003
477,0.072156
478,0.077178
479,0.081589
480,0.086330
481,0.085991
482,0.080744
483,0.080243
484,0.075581
485,0.086900
486,0.071935
487,0.069551
488,0.078987
489,0.085452
490,0.081629
491,0.075032
492,0.072546
493,0.088439
494,0.075230
495,0.092513
496,0.089891
497,0.076200
498,0.078640
499,0.077731
500,0.076165
501,0.082743
502,0.081038
503,0.079119
504,0.083939
505,0.078442
506,0.088438
507,0.080470
508,0.085293
