Frame,Mean
0,0.042747
1,0.040883
2,0.040848
3,0.042542
4,0.039160
5,0.045645
6,0.039069
7,0.047501
8,0.040349
9,0.050997
10,0.045145
11,0.040525
12,0.041915
13,0.045194
14,0.050263
15,0.038191
16,0.043447
17,0.042411
18,0.049827
19,0.047312
20,0.040484
21,0.039979
22,0.043143
23,0.038834
24,0.045938
25,0.044672
26,0.047705
27,0.045382
28,0.035338
29,0.048434
30,0.040368
31,0.042951
32,0.051437
33,0.047556
34,0.037064
35,0.046448
36,0.050633
37,0.052604
38,0.041209
39,0.050542
40,0.045769
41,0.043905
42,0.043870
43,0.045564
44,0.042182
45,0.048667
46,0.042091
47,0.050524
48,0.043371
49,0.054019
50,0.048167
51,0.043547
52,0.044937
53,0.048216
54,0.053285
55,0.041233
56,0.046480
57,0.045444
58,0.052880
59,0.050334
60,0.043261
61,0.053844
62,0.055526
63,0.053606
64,0.051695
65,0.053159
66,0.049613
67,0.046549
68,0.045705
69,0.051305
70,0.056470
71,0.052872
72,0.054701
73,0.053169
74,0.049570
75,0.055762
76,0.041076
77,0.049644
78,0.051612
79,0.051221
80,0.058316
81,0.048013
82,0.055647
83,0.053984
84,0.061180
85,0.047642
86,0.053278
87,0.046089
88,0.040222
89,0.052043
90,0.050970
91,0.052101
92,0.056112
93,0.052235
94,0.054938
95,0.055565
96,0.054322
97,0.051555
98,0.053475
99,0.045927
100,0.050118
101,0.041524
102,0.049858
103,0.050703
104,0.041974
105,0.053025
106,0.044374
107,0.040886
108,0.050802
109,0.053739
110,0.057929
111,0.052903
112,0.045530
113,0.055012
114,0.046700
115,0.054653
116,0.048820
117,0.050384
118,0.055998
119,0.056831
120,0.052911
121,0.047225
122,0.049365
123,0.052248
124,0.048111
125,0.051945
126,0.050449
127,0.049389
128,0.043294
129,0.046622
130,0.047800
131,0.057394
132,0.057844
133,0.052767
134,0.050418
135,0.049627
136,0.047067
137,0.048891
138,0.049248
139,0.053019
140,0.060806
141,0.051630
142,0.054146
143,0.053085
144,0.052755
145,0.051571
146,0.053540
147,0.052645
148,0.055807
149,0.048432
150,0.048954
151,0.049558
152,0.047905
153,0.042162
154,0.052987
155,0.054220
156,0.058427
157,0.052134
158,0.051724
159,0.045489
160,0.048909
161,0.043694
162,0.049276
163,0.044172
164,0.053633
165,0.046915
166,0.043124
167,0.054309
168,0.049835
169,0.049061
170,0.042944
171,0.046714
172,0.058253
173,0.057979
174,0.053819
175,0.050971
176,0.047138
177,0.044247
178,0.044197
179,0.042441
180,0.047311
181,0.051935
182,0.054555
183,0.049034
184,0.045416
185,0.052856
186,0.045430
187,0.052239
188,0.050005
189,0.053332
190,0.046111
191,0.041855
192,0.053941
193,0.058631
194,0.044935
195,0.050003
196,0.049809
197,0.045313
198,0.053487
199,0.047883
200,0.052775
201,0.052964
202,0.050209
203,0.053273
204,0.059374
205,0.055012
206,0.064553
207,0.056185
208,0.055673
209,0.051891
210,0.053673
211,0.057813
212,0.054971
213,0.057080
214,0.048831
215,0.055508
216,0.056930
217,0.050424
218,0.056226
219,0.052613
220,0.050040
221,0.049711
222,0.048789
223,0.057301
224,0.061887
225,0.055547
226,0.051717
227,0.050051
228,0.042798
229,0.047427
230,0.050921
231,0.049360
232,0.050376
233,0.043755
234,0.042554
235,0.037401
236,0.051779
237,0.048192
238,0.042761
239,0.043838
240,0.039131
241,0.041459
242,0.044478
243,0.040571
244,0.044863
245,0.048023
246,0.039254
247,0.036773
248,0.029851
249,0.032194
250,0.044607
251,0.035025
252,0.041459
253,0.028870
254,0.036717
255,0.036134
256,0.033615
257,0.031051
258,0.030568
259,0.034483
260,0.028878
261,0.028384
262,0.027697
263,0.023245
264,0.020678
265,0.019648
266,0.026657
267,0.024190
268,0.026162
269,0.032344
270,0.024208
271,0.018881
272,0.017430
273,0.024623
274,0.026927
275,0.026546
276,0.016101
277,0.021399
278,0.022850
279,0.022470
280,0.017730
281,0.014529
282,0.017125
283,0.018841
284,0.011435
285,0.011392
286,0.012749
287,0.016355
288,0.018481
289,0.013914
290,0.018132
291,0.015503
292,0.013505
293,0.015876
294,0.014286
295,0.010677
296,0.015807
297,0.011492
298,0.017460
299,0.015613
300,0.010544
301,0.009782
302,0.013755
303,0.005880
304,0.001960
305,0.006412
306,0.002943
307,0.011796
308,0.018974
309,-0.003338
310,0.008319
311,0.012529
312,0.006185
313,0.000509
314,0.001069
315,0.006589
316,0.005277
317,0.003794
318,0.006551
319,0.000146
320,0.002488
321,-0.001731
322,0.003247
323,-0.001222
324,-0.000183
325,0.001558
326,0.001286
327,0.003164
328,0.004575
329,-0.000575
330,0.001999
331,-0.001650
332,-0.003626
333,0.001191
334,0.005564
335,-0.009013
336,-0.003540
337,-0.001472
338,-0.001121
339,-0.008189
340,-0.004130
341,0.000594
342,-0.001109
343,-0.002311
344,-0.001980
345,-0.004723
346,-0.006834
347,-0.011799
348,-0.005060
349,-0.006480
350,-0.004828
351,-0.014972
352,-0.004273
353,-0.008327
354,-0.006535
355,-0.007985
356,-0.010732
357,-0.003246
358,-0.002421
359,-0.008052
360,-0.008539
361,-0.005310
362,-0.001107
363,-0.014400
364,-0.004146
365,-0.010097
366,-0.008957
367,-0.018984
368,-0.008385
369,-0.010728
370,-0.006658
371,-0.012081
372,-0.014533
373,-0.007959
374,-0.010258
375,-0.012091
376,-0.010545
377,-0.007997
378,-0.015105
379,-0.009882
380,-0.007836
381,-0.008539
382,-0.011816
383,-0.014874
384,-0.011569
385,-0.012761
386,-0.018965
387,-0.017828
388,-0.015885
389,-0.018849
390,-0.011414
391,-0.014504
392,-0.006918
393,-0.019032
