Frame,Mean
0,0.004920
1,0.011198
2,0.004419
3,0.007180
4,0.005266
5,0.005908
6,-0.001805
7,-0.001686
8,0.001329
9,-0.007569
10,0.001842
11,-0.008317
12,-0.003502
13,0.006292
14,0.001787
15,-0.000628
16,-0.001077
17,0.003311
18,-0.004005
19,-0.001905
20,-0.006028
21,-0.006004
22,-0.005776
23,-0.004497
24,-0.006616
25,-0.007751
26,-0.003983
27,-0.007394
28,-0.013126
29,-0.013002
30,-0.012139
31,-0.012215
32,-0.015538
33,-0.012760
34,-0.019083
35,-0.015536
36,-0.022956
37,-0.017053
38,-0.023499
39,-0.025329
40,-0.026404
41,-0.016965
42,-0.014709
43,-0.023031
44,-0.024483
45,-0.022038
46,-0.010895
47,-0.023325
48,-0.027938
49,-0.012462
50,-0.016389
51,-0.027538
52,-0.017432
53,-0.027677
54,-0.032102
55,-0.024675
56,-0.031188
57,-0.033097
58,-0.027053
59,-0.035016
60,-0.032705
61,-0.034757
62,-0.031293
63,-0.029892
64,-0.037014
65,-0.028453
66,-0.033630
67,-0.031443
68,-0.030172
69,-0.035315
70,-0.030605
71,-0.049862
72,-0.040848
73,-0.042337
74,-0.043297
75,-0.039255
76,-0.036706
77,-0.047584
78,-0.038752
79,-0.032647
80,-0.036722
81,-0.042880
82,-0.040015
83,-0.037059
84,-0.043790
85,-0.041064
86,-0.052113
87,-0.037973
88,-0.047464
89,-0.048598
90,-0.048254
91,-0.049269
92,-0.045852
93,-0.048378
94,-0.050814
95,-0.051016
96,-0.044556
97,-0.050685
98,-0.054763
99,-0.051234
100,-0.052819
101,-0.053626
102,-0.057355
103,-0.055931
104,-0.060862
105,-0.055665
106,-0.058297
107,-0.065362
108,-0.060048
109,-0.061024
110,-0.056288
111,-0.068088
112,-0.065768
113,-0.071357
114,-0.077561
115,-0.065321
116,-0.070197
117,-0.074882
118,-0.075846
119,-0.077418
120,-0.072360
121,-0.077273
122,-0.086516
123,-0.079673
124,-0.079246
125,-0.066128
126,-0.074449
127,-0.070786
128,-0.068800
129,-0.065598
130,-0.066857
131,-0.063427
132,-0.063314
133,-0.061789
134,-0.063660
135,-0.058855
136,-0.068291
137,-0.057067
138,-0.069639
139,-0.066336
140,-0.068615
141,-0.065277
142,-0.062943
143,-0.072171
144,-0.063080
145,-0.070188
146,-0.069124
147,-0.076913
148,-0.065776
149,-0.079707
150,-0.073461
151,-0.072299
152,-0.072623
153,-0.076316
154,-0.075470
155,-0.085043
156,-0.084519
157,-0.074733
158,-0.074596
159,-0.082874
160,-0.077696
161,-0.081224
162,-0.084178
163,-0.076400
164,-0.076557
165,-0.075108
166,-0.082786
167,-0.083489
168,-0.082199
169,-0.086275
170,-0.085601
171,-0.085925
172,-0.082188
173,-0.081926
174,-0.088483
175,-0.090795
176,-0.094126
177,-0.091233
178,-0.091433
179,-0.089793
180,-0.087524
181,-0.086758
182,-0.086398
183,-0.092948
184,-0.089494
185,-0.091710
186,-0.081233
187,-0.079781
188,-0.087805
189,-0.076343
190,-0.078186
191,-0.080440
192,-0.081110
193,-0.078214
194,-0.081507
195,-0.085843
196,-0.084891
197,-0.079221
198,-0.078655
199,-0.081616
200,-0.083079
201,-0.097240
202,-0.084343
203,-0.092365
204,-0.087962
205,-0.088601
206,-0.089677
207,-0.090209
208,-0.082115
209,-0.086969
210,-0.093992
211,-0.091049
212,-0.105690
213,-0.102298
214,-0.098378
215,-0.107966
216,-0.098222
217,-0.099997
218,-0.097190
219,-0.091625
220,-0.095419
221,-0.097530
222,-0.091325
223,-0.090784
224,-0.102066
225,-0.102634
226,-0.090154
227,-0.105544
228,-0.101270
229,-0.097807
230,-0.101506
231,-0.102444
232,-0.103410
233,-0.106490
234,-0.103809
235,-0.106173
236,-0.109565
237,-0.115197
238,-0.113204
239,-0.103943
240,-0.108800
241,-0.107250
242,-0.111352
243,-0.103731
244,-0.113661
245,-0.109922
246,-0.112516
247,-0.106452
248,-0.106720
249,-0.104487
250,-0.108555
251,-0.106019
252,-0.109825
253,-0.110193
254,-0.106718
255,-0.109641
256,-0.103895
257,-0.108557
258,-0.108182
259,-0.098583
260,-0.107769
261,-0.103986
262,-0.105070
263,-0.102390
264,-0.096008
265,-0.094479
266,-0.104104
267,-0.106559
268,-0.102805
269,-0.101515
270,-0.112102
271,-0.108422
272,-0.104999
273,-0.110671
274,-0.109951
275,-0.110164
276,-0.111781
277,-0.108928
278,-0.109439
279,-0.105892
280,-0.113008
281,-0.102772
282,-0.112277
283,-0.117475
284,-0.111369
285,-0.112391
286,-0.107721
287,-0.107704
288,-0.113218
289,-0.109641
290,-0.100854
291,-0.111134
292,-0.107085
293,-0.112893
294,-0.102934
295,-0.113581
296,-0.113198
297,-0.109827
298,-0.100778
299,-0.109763
300,-0.111124
301,-0.112307
302,-0.112357
303,-0.113749
304,-0.111693
305,-0.106199
306,-0.115828
307,-0.116388
308,-0.121150
309,-0.118027
310,-0.111108
311,-0.107530
312,-0.113279
313,-0.119123
314,-0.104165
315,-0.117886
316,-0.112867
317,-0.114189
318,-0.112108
319,-0.118230
320,-0.119749
321,-0.119434
322,-0.118261
323,-0.113912
324,-0.117066
325,-0.116101
326,-0.104064
327,-0.118101
328,-0.119305
329,-0.107326
330,-0.103185
331,-0.109602
332,-0.112212
333,-0.107453
334,-0.105751
335,-0.101892
336,-0.102615
337,-0.103424
338,-0.103590
339,-0.099915
340,-0.105644
341,-0.108687
342,-0.104732
343,-0.113011
344,-0.113197
345,-0.105969
346,-0.113739
347,-0.103626
348,-0.105934
349,-0.109997
350,-0.110214
351,-0.110657
352,-0.113820
353,-0.105115
354,-0.110477
355,-0.107087
356,-0.113831
357,-0.107632
358,-0.116611
359,-0.105078
360,-0.114662
361,-0.111336
362,-0.115391
363,-0.107991
364,-0.113600
365,-0.116523
366,-0.110468
367,-0.115083
368,-0.109813
369,-0.121040
370,-0.112519
371,-0.108197
372,-0.113361
373,-0.116921
374,-0.116897
375,-0.113300
376,-0.119744
377,-0.111302
378,-0.113127
379,-0.123681
380,-0.121454
381,-0.116585
382,-0.116649
383,-0.115857
384,-0.114584
385,-0.121433
386,-0.121342
387,-0.112513
388,-0.111822
389,-0.110115
390,-0.114283
391,-0.114180
392,-0.118171
393,-0.119933
394,-0.116864
395,-0.117028
396,-0.119285
397,-0.116436
398,-0.108845
399,-0.110736
400,-0.114276
401,-0.116098
402,-0.103241
403,-0.108417
404,-0.110808
405,-0.110513
406,-0.111957
407,-0.112876
408,-0.112696
409,-0.106511
410,-0.113344
411,-0.115799
412,-0.116133
413,-0.113741
414,-0.108764
415,-0.109788
416,-0.114294
417,-0.109023
418,-0.102491
419,-0.102934
420,-0.105048
421,-0.110914
422,-0.109234
423,-0.104717
424,-0.099936
425,-0.113794
426,-0.108153
427,-0.111967
428,-0.111215
429,-0.110817
430,-0.109949
