Frame,Mean
0,0.013276
1,0.014116
2,0.001905
3,-0.003448
4,-0.003786
5,0.002220
6,0.001622
7,-0.002557
8,0.004710
9,0.004684
10,-0.008056
11,-0.005336
12,0.005688
13,0.008608
14,-0.007799
15,0.005792
16,0.003031
17,-0.004484
18,0.000249
19,-0.010525
20,-0.006419
21,-0.004653
22,-0.024817
23,-0.012307
24,0.001062
25,-0.018322
26,-0.005764
27,-0.014615
28,-0.005592
29,-0.014689
30,-0.017301
31,-0.013447
32,-0.012925
33,-0.012488
34,-0.016175
35,-0.011480
36,-0.011971
37,-0.021729
38,-0.033238
39,-0.019120
40,-0.017015
41,-0.012414
42,-0.011963
43,-0.021227
44,-0.030101
45,-0.014456
46,-0.022733
47,-0.023528
48,-0.012016
49,-0.010171
50,-0.019537
51,-0.021261
52,-0.029830
53,-0.025058
54,-0.021680
55,-0.028321
56,-0.027603
57,-0.020937
58,-0.019956
59,-0.017727
60,-0.023649
61,-0.028442
62,-0.026848
63,-0.020076
64,-0.015856
65,-0.030595
66,-0.024300
67,-0.026681
68,-0.018591
69,-0.017651
70,-0.023381
71,-0.032295
72,-0.038850
73,-0.028279
74,-0.039917
75,-0.024170
76,-0.036498
77,-0.027409
78,-0.043405
79,-0.027837
80,-0.033794
81,-0.031148
82,-0.040546
83,-0.029171
84,-0.029760
85,-0.039834
86,-0.038299
87,-0.034490
88,-0.036217
89,-0.030019
90,-0.035276
91,-0.047814
92,-0.039297
93,-0.041715
94,-0.034508
95,-0.047762
96,-0.034157
97,-0.036697
98,-0.039887
99,-0.044457
100,-0.050129
101,-0.053298
102,-0.046792
103,-0.044070
104,-0.044987
105,-0.048447
106,-0.050932
107,-0.057028
108,-0.046953
109,-0.044363
110,-0.048882
111,-0.062115
112,-0.044939
113,-0.062361
114,-0.069046
115,-0.064221
116,-0.057573
117,-0.061364
118,-0.069312
119,-0.069864
120,-0.059146
121,-0.062044
122,-0.068825
123,-0.074665
124,-0.067756
125,-0.053299
126,-0.057770
127,-0.061958
128,-0.058813
129,-0.054170
130,-0.041604
131,-0.053740
132,-0.051612
133,-0.051812
134,-0.054498
135,-0.054776
136,-0.042892
137,-0.047453
138,-0.055843
139,-0.046465
140,-0.053167
141,-0.051418
142,-0.058643
143,-0.060132
144,-0.052840
145,-0.060777
146,-0.054746
147,-0.060288
148,-0.051323
149,-0.060165
150,-0.060085
151,-0.060664
152,-0.061573
153,-0.063414
154,-0.060475
155,-0.073420
156,-0.069385
157,-0.063942
158,-0.048795
159,-0.064142
160,-0.066959
161,-0.069567
162,-0.059073
163,-0.054989
164,-0.052059
165,-0.070796
166,-0.055774
167,-0.060236
168,-0.069152
169,-0.062478
170,-0.068295
171,-0.051700
172,-0.061232
173,-0.069674
174,-0.065336
175,-0.071754
176,-0.071418
177,-0.074330
178,-0.073707
179,-0.066643
180,-0.076943
181,-0.067261
182,-0.067938
183,-0.067334
184,-0.068923
185,-0.070541
186,-0.065448
187,-0.064207
188,-0.060185
189,-0.059215
190,-0.060303
191,-0.063736
192,-0.060547
193,-0.061983
194,-0.045245
195,-0.050606
196,-0.063214
197,-0.056475
198,-0.068003
199,-0.051203
200,-0.057767
201,-0.067998
202,-0.058643
203,-0.066000
204,-0.060789
205,-0.072376
206,-0.060216
207,-0.064258
208,-0.056781
209,-0.069884
210,-0.070961
211,-0.074862
212,-0.074359
213,-0.076649
214,-0.072775
215,-0.083821
216,-0.077701
217,-0.082800
218,-0.080847
219,-0.069735
220,-0.065256
221,-0.077524
222,-0.077306
223,-0.073319
224,-0.076174
225,-0.074457
226,-0.077895
227,-0.075358
228,-0.072552
229,-0.069535
230,-0.079920
231,-0.076032
232,-0.076297
233,-0.088173
234,-0.077738
235,-0.085410
236,-0.075976
237,-0.082764
238,-0.078530
239,-0.078835
240,-0.075830
241,-0.081310
242,-0.077216
243,-0.070562
244,-0.070434
245,-0.078544
246,-0.081966
247,-0.083744
248,-0.082105
249,-0.080694
250,-0.079843
251,-0.079777
252,-0.083050
253,-0.073841
254,-0.073247
255,-0.084167
256,-0.076528
257,-0.079920
258,-0.077031
259,-0.077890
260,-0.080144
261,-0.069250
262,-0.079407
263,-0.063509
264,-0.065901
265,-0.075468
266,-0.070020
267,-0.074582
268,-0.073582
269,-0.072238
270,-0.067510
271,-0.078567
272,-0.069291
273,-0.085971
274,-0.065095
275,-0.069388
276,-0.078608
277,-0.076622
278,-0.080662
279,-0.075075
280,-0.085040
281,-0.085642
282,-0.078540
283,-0.079118
284,-0.079787
285,-0.077498
286,-0.068070
287,-0.071914
288,-0.085115
289,-0.074105
290,-0.079349
291,-0.075341
292,-0.076804
293,-0.076388
294,-0.075540
295,-0.066531
296,-0.077126
297,-0.085184
298,-0.085206
299,-0.069532
300,-0.083714
301,-0.084602
302,-0.077078
303,-0.082317
304,-0.084269
305,-0.072073
306,-0.084673
307,-0.085609
308,-0.086531
309,-0.082855
310,-0.092881
311,-0.071702
312,-0.089745
313,-0.081945
314,-0.080422
315,-0.078743
316,-0.092180
317,-0.076526
318,-0.081809
319,-0.085857
320,-0.078827
321,-0.079025
322,-0.083624
323,-0.081737
324,-0.072744
325,-0.073626
326,-0.074796
327,-0.070571
328,-0.087057
329,-0.072543
330,-0.075965
331,-0.064734
332,-0.076998
333,-0.065864
334,-0.077484
335,-0.071520
336,-0.072089
337,-0.071614
338,-0.075741
339,-0.058668
340,-0.070984
341,-0.064340
342,-0.068124
343,-0.064659
344,-0.071544
345,-0.066722
346,-0.084427
347,-0.071451
348,-0.078763
349,-0.077224
350,-0.079358
351,-0.075874
352,-0.078049
353,-0.071879
354,-0.075685
355,-0.082376
356,-0.081430
357,-0.083025
358,-0.077039
359,-0.078084
360,-0.079254
361,-0.077802
362,-0.086303
363,-0.077078
364,-0.077967
365,-0.087880
366,-0.073721
367,-0.073596
368,-0.076119
369,-0.076597
370,-0.074169
371,-0.089843
372,-0.082953
373,-0.084826
374,-0.081805
375,-0.078698
376,-0.077048
377,-0.082263
378,-0.072648
379,-0.078405
380,-0.078542
381,-0.079113
382,-0.084619
383,-0.080818
384,-0.071578
385,-0.079244
386,-0.082653
387,-0.083191
388,-0.072905
389,-0.076449
390,-0.079432
391,-0.076847
392,-0.078453
393,-0.078014
394,-0.093033
395,-0.084034
396,-0.084069
397,-0.075558
398,-0.072753
399,-0.075524
400,-0.079062
401,-0.087992
402,-0.071628
403,-0.074325
404,-0.078023
405,-0.074544
406,-0.066660
407,-0.076852
408,-0.068158
409,-0.073272
410,-0.072329
411,-0.075523
412,-0.081011
413,-0.067077
414,-0.078361
415,-0.076968
416,-0.062086
417,-0.064664
418,-0.063755
419,-0.067098
420,-0.067538
421,-0.069210
422,-0.072996
423,-0.066825
424,-0.069302
425,-0.064601
426,-0.084626
427,-0.064945
428,-0.075905
429,-0.077622
430,-0.068895
431,-0.071522
432,-0.080809
433,-0.068444
434,-0.078930
435,-0.061748
436,-0.073819
437,-0.068458
438,-0.073664
439,-0.063501
440,-0.065349
441,-0.069378
442,-0.061797
443,-0.072723
444,-0.068429
445,-0.074021
446,-0.066336
447,-0.068701
448,-0.062409
449,-0.070736
450,-0.060083
451,-0.065080
452,-0.065636
453,-0.063681
454,-0.066037
455,-0.060367
456,-0.059036
457,-0.057449
458,-0.054476
459,-0.066876
460,-0.056871
461,-0.061234
462,-0.058137
463,-0.060737
464,-0.055439
465,-0.068317
466,-0.078083
467,-0.065541
468,-0.072979
469,-0.069137
470,-0.057468
471,-0.064808
472,-0.064171
473,-0.057349
474,-0.059592
475,-0.066046
476,-0.059256
477,-0.065982
478,-0.063551
479,-0.056848
480,-0.058061
481,-0.058097
482,-0.056593
483,-0.060116
484,-0.059426
485,-0.066045
486,-0.058051
487,-0.060149
488,-0.066018
489,-0.055428
490,-0.069324
491,-0.054431
492,-0.076142
493,-0.065485
494,-0.071409
495,-0.047320
496,-0.055448
497,-0.063358
498,-0.053266
499,-0.056096
500,-0.067206
501,-0.049083
502,-0.052896
503,-0.055647
504,-0.047505
505,-0.047056
506,-0.059247
507,-0.055984
508,-0.052978
509,-0.061660
510,-0.061573
511,-0.060316
512,-0.051605
513,-0.052457
514,-0.049970
515,-0.042038
516,-0.054938
517,-0.064437
518,-0.060572
519,-0.060024
520,-0.052057
521,-0.053862
522,-0.058643
523,-0.054458
524,-0.063936
525,-0.054420
526,-0.055784
527,-0.050627
528,-0.053794
529,-0.050547
530,-0.057201
531,-0.046291
532,-0.055865
533,-0.051923
534,-0.051161
535,-0.052603
536,-0.060827
537,-0.052930
538,-0.045619
539,-0.040398
540,-0.048262
541,-0.051646
542,-0.047977
543,-0.053922
544,-0.050572
545,-0.043821
546,-0.042296
547,-0.051552
548,-0.042275
549,-0.048061
550,-0.048712
551,-0.039900
552,-0.045954
553,-0.044574
554,-0.055411
555,-0.051443
556,-0.051556
557,-0.036985
558,-0.048281
559,-0.047427
560,-0.049798
561,-0.049512
562,-0.041793
563,-0.062038
564,-0.054061
565,-0.041138
566,-0.054251
567,-0.045333
568,-0.054463
569,-0.043509
570,-0.054584
571,-0.037309
572,-0.042868
573,-0.045819
574,-0.044803
575,-0.049278
576,-0.040134
577,-0.048116
578,-0.053146
579,-0.042658
580,-0.044610
581,-0.042407
582,-0.036814
583,-0.043368
584,-0.050314
585,-0.045154
586,-0.039614
587,-0.035960
588,-0.030259
589,-0.048265
590,-0.043430
591,-0.042987
592,-0.037503
593,-0.048567
594,-0.042805
595,-0.033044
596,-0.053838
597,-0.039340
598,-0.043444
599,-0.035873
600,-0.037008
601,-0.036690
602,-0.047245
603,-0.046139
604,-0.032600
605,-0.049011
606,-0.039286
607,-0.035486
608,-0.033806
609,-0.044339
610,-0.026920
611,-0.042154
612,-0.049857
613,-0.040137
614,-0.043102
615,-0.036475
616,-0.042802
617,-0.043389
618,-0.032726
619,-0.028256
620,-0.037137
621,-0.036274
622,-0.029018
623,-0.032508
624,-0.035132
625,-0.037698
626,-0.028727
627,-0.023755
628,-0.037208
629,-0.028483
630,-0.029144
631,-0.031486
632,-0.029395
633,-0.030081
634,-0.019176
635,-0.019971
636,-0.033742
637,-0.034857
638,-0.024500
639,-0.025088
640,-0.030323
641,-0.019216
642,-0.034329
643,-0.019668
644,-0.024473
645,-0.024965
646,-0.038326
647,-0.030377
648,-0.025438
649,-0.035402
650,-0.022975
651,-0.027904
652,-0.031069
653,-0.029979
654,-0.019291
655,-0.020375
656,-0.017180
657,-0.017086
658,-0.025274
659,-0.009863
660,-0.025408
661,-0.016582
662,-0.020506
663,-0.022149
664,-0.023068
665,-0.019957
666,-0.007618
667,-0.022659
668,-0.015586
669,-0.028336
670,-0.013279
671,-0.015059
672,-0.016975
673,-0.016869
674,-0.021306
675,-0.018780
676,-0.017834
677,-0.018283
678,-0.026766
679,-0.016073
680,-0.012133
681,-0.015762
682,-0.021924
683,-0.012970
684,-0.005956
685,-0.021009
686,-0.027783
687,-0.020761
688,-0.022030
689,-0.023088
690,-0.013067
691,-0.018263
692,-0.008503
693,-0.015519
694,-0.010746
695,-0.021570
696,-0.004478
697,-0.015045
698,-0.018498
699,-0.007993
700,-0.013555
701,-0.011301
702,-0.013290
703,-0.005340
704,-0.004210
705,-0.005360
706,-0.007351
707,-0.008750
708,-0.005967
709,-0.003705
710,-0.012910
711,-0.013897
712,-0.019997
713,-0.004734
714,-0.011725
715,-0.018847
716,-0.002381
717,-0.007811
718,-0.002227
719,-0.000526
720,-0.008596
721,-0.008188
722,0.002149
723,-0.001912
724,-0.004344
725,-0.014392
726,-0.009095
727,0.002255
728,0.000726
729,-0.011920
730,-0.003358
731,-0.006868
732,0.003779
733,-0.014411
734,-0.005194
735,-0.012406
736,-0.010075
737,0.000306
738,-0.014377
739,-0.009412
740,-0.005014
741,-0.008066
742,-0.009536
743,-0.000776
744,-0.006979
745,-0.006923
746,0.002931
747,-0.002012
748,-0.005469
749,0.003878
750,-0.002997
751,-0.010817
752,-0.004735
753,-0.003158
754,-0.002283
755,-0.016513
756,-0.004540
757,-0.006959
758,-0.018884
759,-0.005719
760,-0.009644
761,-0.008545
762,-0.015337
763,0.009619
764,0.002967
765,-0.005833
766,0.000018
767,-0.004185
768,-0.011326
769,-0.001522
770,-0.007770
771,0.002609
772,-0.003035
773,-0.001281
774,-0.000902
775,-0.020322
776,-0.002571
777,-0.012443
778,-0.006948
779,0.004938
780,-0.016404
781,0.006148
782,0.001683
783,-0.010300
784,-0.011384
785,0.001643
786,-0.003542
787,0.002504
788,0.001747
789,0.001978
790,-0.010279
791,-0.002830
792,0.002211
793,-0.000911
794,-0.006424
795,-0.004936
796,-0.007044
797,-0.000791
798,-0.006676
799,-0.001414
800,-0.007905
801,-0.003847
802,0.004939
803,0.000714
804,0.001557
805,-0.000361
806,-0.008059
807,-0.002907
808,-0.002348
809,0.002951
810,0.002667
811,-0.008257
812,-0.013384
813,-0.014104
814,-0.019541
815,-0.010726
816,-0.011246
817,-0.011183
818,0.004000
819,0.000800
820,-0.003923
821,-0.002103
822,-0.001406
823,-0.002920
824,0.002377
825,-0.005754
826,-0.006175
827,-0.006853
828,-0.013865
829,-0.005357
830,-0.014218
831,-0.009782
832,-0.017881
833,-0.005319
834,0.003709
835,-0.011960
836,-0.013029
837,-0.009692
838,-0.010927
839,-0.030658
840,-0.010421
841,-0.010576
842,-0.016646
843,-0.022669
844,-0.019889
845,-0.021139
846,-0.013271
847,-0.018780
848,-0.017977
849,-0.015186
850,-0.024706
851,-0.010515
852,-0.023237
853,-0.026077
854,-0.023459
855,-0.025844
856,-0.023274
857,-0.021825
858,-0.016609
859,-0.023028
860,-0.032543
861,-0.028973
862,-0.024196
863,-0.017930
864,-0.023620
865,-0.017859
866,-0.021235
867,-0.023406
868,-0.015493
869,-0.020832
870,-0.026684
871,-0.026770
872,-0.028187
873,-0.032665
874,-0.020422
875,-0.036041
876,-0.027969
877,-0.014365
878,-0.027514
879,-0.025638
880,-0.025082
881,-0.026886
882,-0.031359
883,-0.029638
884,-0.025957
885,-0.030598
886,-0.035911
887,-0.040655
888,-0.032193
889,-0.026294
890,-0.036871
891,-0.024328
892,-0.029130
893,-0.042138
894,-0.035954
895,-0.027502
896,-0.026574
897,-0.035586
898,-0.045688
899,-0.031966
900,-0.032796
901,-0.026463
902,-0.029304
903,-0.042169
904,-0.030226
905,-0.035775
906,-0.036435
907,-0.027484
908,-0.036024
909,-0.034181
910,-0.040538
911,-0.047763
912,-0.023541
913,-0.048505
914,-0.028272
915,-0.031250
916,-0.033143
917,-0.033235
918,-0.048607
