Frame,Mean
0,-0.006258
1,0.003472
2,-0.002847
3,-0.003572
4,-0.002381
5,0.008124
6,0.002628
7,-0.005611
8,-0.001257
9,0.017324
10,-0.006643
11,-0.000155
12,0.001093
13,-0.000788
14,0.000093
15,-0.002929
16,0.001912
17,0.012925
18,0.008585
19,-0.001099
20,0.000096
21,0.004294
22,0.012907
23,0.011861
24,0.006902
25,0.007009
26,0.015971
27,0.012014
28,0.009474
29,0.006867
30,0.004274
31,0.006476
32,0.012618
33,0.014723
34,0.016402
35,0.009809
36,0.006885
37,-0.000458
38,0.013799
39,0.019057
40,0.017152
41,0.019164
42,0.014026
43,0.014046
44,0.020251
45,0.020170
46,0.018870
47,0.017607
48,0.024193
49,0.027253
50,0.024424
51,0.039781
52,0.026739
53,0.040945
54,0.024088
55,0.031332
56,0.029044
57,0.038055
58,0.028436
59,0.032505
60,0.024853
61,0.037195
62,0.039570
63,0.037609
64,0.022854
65,0.032665
66,0.030794
67,0.044002
68,0.028585
69,0.033014
70,0.031818
71,0.030677
72,0.035060
73,0.032484
74,0.029497
75,0.037726
76,0.032310
77,0.041679
78,0.042255
79,0.040725
80,0.049772
81,0.043867
82,0.046057
83,0.039763
84,0.041821
85,0.047381
86,0.044180
87,0.038413
88,0.049125
89,0.042339
90,0.043272
91,0.052107
92,0.043908
93,0.054324
94,0.040265
95,0.049208
96,0.055283
97,0.042707
98,0.051800
99,0.049800
100,0.055473
101,0.044834
102,0.053503
103,0.051087
104,0.053208
105,0.062228
106,0.055526
107,0.064133
108,0.045469
109,0.050017
110,0.060348
111,0.050085
112,0.051494
113,0.059842
114,0.056887
115,0.055000
116,0.063986
117,0.058216
118,0.053947
119,0.049740
120,0.071326
121,0.074665
122,0.053902
123,0.062186
124,0.078570
125,0.060586
126,0.059982
127,0.062381
128,0.062908
129,0.058894
130,0.062029
131,0.074630
132,0.067535
133,0.048242
134,0.059976
135,0.061375
136,0.056035
137,0.062241
138,0.051431
139,0.063998
140,0.069281
141,0.059946
142,0.064222
143,0.060600
144,0.057629
145,0.058202
146,0.073968
147,0.060404
148,0.074176
149,0.065734
150,0.068394
151,0.069058
152,0.063482
153,0.068510
154,0.062699
155,0.079878
156,0.076402
157,0.073803
158,0.067340
159,0.074210
160,0.087126
161,0.074148
162,0.075164
163,0.072081
164,0.087252
165,0.077698
166,0.079874
167,0.087783
168,0.078292
169,0.081023
170,0.077770
171,0.076661
172,0.080755
173,0.070755
174,0.072984
175,0.083929
176,0.072643
177,0.075773
178,0.075469
179,0.073052
180,0.074116
181,0.071889
182,0.068587
183,0.090699
184,0.076253
185,0.072772
186,0.079579
187,0.067415
188,0.089843
189,0.079297
190,0.085119
191,0.069636
192,0.074211
193,0.077430
194,0.081915
195,0.072971
196,0.077188
197,0.089604
198,0.079680
199,0.087362
200,0.081036
201,0.078358
202,0.075967
203,0.087759
204,0.079163
205,0.070901
206,0.080010
207,0.074419
208,0.078737
209,0.082410
210,0.081207
211,0.079769
212,0.073723
213,0.074021
214,0.071159
215,0.087028
216,0.083807
217,0.077856
218,0.070890
219,0.076751
220,0.071484
221,0.084757
222,0.079750
223,0.086835
224,0.081563
225,0.076422
226,0.071342
227,0.079801
228,0.094266
229,0.079556
230,0.070820
231,0.088589
232,0.076976
233,0.073682
234,0.082105
235,0.081909
236,0.076008
237,0.090267
238,0.081758
239,0.086683
240,0.086342
241,0.089910
242,0.088974
243,0.084325
244,0.087510
245,0.080732
246,0.087371
247,0.086427
248,0.077934
249,0.092044
250,0.086340
251,0.077576
252,0.088876
253,0.088182
254,0.094181
255,0.098732
256,0.083555
257,0.078393
258,0.094107
259,0.091671
260,0.088156
261,0.088826
262,0.081535
263,0.092858
264,0.096036
265,0.095256
266,0.083949
267,0.089322
268,0.089001
269,0.097962
270,0.097808
271,0.083493
272,0.092456
273,0.096299
274,0.099222
275,0.092467
276,0.096379
277,0.098949
278,0.085254
279,0.093269
280,0.089992
281,0.094269
282,0.093467
283,0.105252
284,0.093191
285,0.097641
286,0.096653
287,0.097997
288,0.102502
289,0.097795
290,0.101621
291,0.097960
292,0.101018
293,0.099407
294,0.100296
295,0.094268
296,0.089154
297,0.089837
298,0.110309
299,0.109688
300,0.104405
301,0.110550
302,0.087931
303,0.107553
304,0.103918
305,0.122868
306,0.110501
307,0.110457
308,0.107625
309,0.124122
310,0.122156
311,0.102043
312,0.106058
313,0.118067
314,0.116400
315,0.108303
316,0.110648
317,0.102887
318,0.113395
319,0.113526
320,0.104529
321,0.112057
322,0.101390
323,0.107621
324,0.115379
325,0.114618
326,0.118750
327,0.114280
328,0.110797
329,0.115351
330,0.116065
331,0.113321
332,0.105407
333,0.126658
334,0.118920
335,0.115294
336,0.116166
337,0.112906
338,0.113523
339,0.106687
340,0.108487
341,0.117064
342,0.102663
343,0.096979
344,0.112977
345,0.108612
346,0.114641
347,0.115021
348,0.110235
349,0.116975
350,0.114153
351,0.119567
352,0.121498
353,0.118895
354,0.119648
355,0.112873
356,0.110552
357,0.110271
358,0.110701
359,0.117450
360,0.114242
361,0.110394
362,0.108196
363,0.125129
364,0.116491
365,0.125128
366,0.117070
367,0.114766
368,0.111070
369,0.103569
370,0.112732
371,0.112591
372,0.115431
373,0.107141
374,0.117041
375,0.118193
376,0.109992
377,0.108310
378,0.116378
379,0.111940
380,0.120549
381,0.103388
382,0.116224
383,0.106558
384,0.109516
385,0.121889
386,0.111420
387,0.117081
388,0.104787
389,0.112035
390,0.122509
391,0.114163
392,0.116506
393,0.108974
394,0.107968
395,0.106665
396,0.117461
397,0.113414
398,0.107122
399,0.110186
400,0.103325
401,0.117119
402,0.119971
403,0.124614
404,0.109747
405,0.118750
406,0.109445
407,0.121411
408,0.119186
409,0.125521
410,0.112355
411,0.119677
412,0.108754
413,0.108974
414,0.118206
415,0.117157
416,0.110709
417,0.121614
418,0.116415
419,0.106631
420,0.105262
421,0.126420
422,0.121916
423,0.112338
424,0.118922
425,0.115132
