Frame,Mean
0,-0.029763
1,-0.030380
2,-0.028360
3,-0.023394
4,-0.023719
5,-0.021589
6,-0.016556
7,-0.016910
8,-0.012955
9,-0.005954
10,-0.008421
11,-0.005312
12,-0.003623
13,0.001658
14,-0.004438
15,0.001399
16,0.004520
17,0.005316
18,0.009621
19,0.006422
20,0.009708
21,0.012131
22,0.016365
23,0.016972
24,0.018858
25,0.019091
26,0.022412
27,0.026864
28,0.033118
29,0.034455
30,0.035217
31,0.038881
32,0.041248
33,0.049236
34,0.045465
35,0.053022
36,0.049033
37,0.051270
38,0.055890
39,0.056132
40,0.057621
41,0.057431
42,0.063915
43,0.068009
44,0.065162
45,0.067973
46,0.066678
47,0.072792
48,0.071221
49,0.070294
50,0.068324
51,0.079155
52,0.073839
53,0.075909
54,0.073588
55,0.083487
56,0.086107
57,0.092595
58,0.093434
59,0.089390
60,0.096728
61,0.092965
62,0.088895
63,0.096016
64,0.097618
65,0.103454
66,0.104389
67,0.104870
68,0.106082
69,0.101919
70,0.103093
71,0.108812
72,0.112569
73,0.112842
74,0.112423
75,0.112180
76,0.111445
77,0.110789
78,0.110818
79,0.113249
80,0.119689
81,0.123819
82,0.125843
83,0.132407
84,0.126717
85,0.126947
86,0.127875
87,0.135765
88,0.136109
89,0.134301
90,0.139889
91,0.135392
92,0.136929
93,0.136552
94,0.141078
95,0.140140
96,0.143123
97,0.137647
98,0.139475
99,0.140023
100,0.141808
101,0.145592
102,0.150927
103,0.148986
104,0.150844
105,0.151088
106,0.147269
107,0.151018
108,0.151194
109,0.151564
110,0.149476
111,0.150039
112,0.149011
113,0.148890
114,0.154220
115,0.158210
116,0.152917
117,0.156287
118,0.158915
119,0.155110
120,0.157386
121,0.164909
122,0.155203
123,0.161047
124,0.161125
125,0.162087
126,0.164255
127,0.165489
128,0.164608
129,0.161998
130,0.162965
131,0.163225
132,0.167224
133,0.171244
134,0.168660
135,0.165255
136,0.165217
137,0.162537
138,0.165738
139,0.170868
140,0.172094
141,0.173735
142,0.166474
143,0.175732
144,0.176953
145,0.172561
146,0.173883
147,0.173562
148,0.177755
149,0.177729
150,0.174990
151,0.173100
152,0.173947
153,0.177746
154,0.180127
155,0.176780
156,0.187441
157,0.187800
158,0.181312
159,0.184190
160,0.184063
161,0.186588
162,0.176660
163,0.175883
164,0.178938
165,0.179315
166,0.180202
167,0.185153
168,0.186797
169,0.182025
170,0.186649
171,0.186953
172,0.183408
173,0.186572
174,0.184806
175,0.189786
176,0.187061
177,0.184585
178,0.181987
179,0.187474
180,0.187382
181,0.187052
182,0.188876
183,0.185316
184,0.186218
185,0.182776
186,0.184455
187,0.184548
188,0.184619
189,0.182132
190,0.181295
191,0.184105
192,0.180509
193,0.181350
194,0.188041
195,0.186556
196,0.192168
197,0.185015
198,0.187486
199,0.190755
200,0.183698
201,0.187612
202,0.192220
203,0.185912
204,0.186977
205,0.184645
206,0.184877
207,0.183904
208,0.187324
209,0.182055
210,0.185729
211,0.185096
212,0.190935
213,0.187156
214,0.183066
215,0.187224
216,0.181100
217,0.176088
218,0.174620
219,0.171547
220,0.175323
221,0.178598
222,0.175705
223,0.180168
224,0.177230
225,0.175750
226,0.176607
227,0.175006
228,0.178439
229,0.178207
230,0.177795
231,0.174370
232,0.180178
233,0.179234
234,0.178781
235,0.175208
236,0.178471
237,0.174549
238,0.176579
239,0.181288
240,0.175979
241,0.174175
242,0.176984
243,0.177381
244,0.174917
245,0.176206
246,0.180020
247,0.172034
248,0.166718
249,0.175637
250,0.172713
251,0.172881
252,0.176413
253,0.174206
254,0.176220
255,0.173932
256,0.175649
257,0.182514
258,0.173330
259,0.179074
260,0.173545
261,0.172806
262,0.180132
263,0.179216
264,0.176040
265,0.175315
266,0.177535
267,0.170211
268,0.174382
269,0.175164
270,0.176474
271,0.175954
272,0.175443
273,0.171935
274,0.174605
275,0.174865
276,0.173059
277,0.164349
278,0.163644
279,0.168175
280,0.173922
281,0.168511
282,0.169669
283,0.170027
284,0.167881
285,0.168549
286,0.166909
287,0.171476
288,0.165765
289,0.161478
290,0.161864
291,0.165357
292,0.167196
293,0.163104
294,0.167831
295,0.165321
296,0.164138
297,0.164542
298,0.165046
299,0.169402
300,0.173258
301,0.169084
302,0.163505
303,0.163012
304,0.159616
305,0.161123
306,0.161358
307,0.159483
308,0.163129
309,0.154519
310,0.155401
311,0.153710
312,0.152658
313,0.157369
314,0.159231
315,0.158549
316,0.156333
317,0.166276
318,0.159509
319,0.162047
320,0.168883
321,0.159259
322,0.159598
323,0.160791
324,0.163842
325,0.162783
326,0.162700
327,0.158618
328,0.154209
329,0.158757
330,0.158262
331,0.157135
332,0.161428
333,0.155326
334,0.153981
335,0.157852
336,0.157682
337,0.154152
338,0.155492
