Frame,Mean
0,0.024637
1,0.019119
2,0.013935
3,0.007154
4,0.000393
5,0.000851
6,0.009929
7,0.007788
8,0.000430
9,0.004074
10,0.008522
11,-0.006199
12,-0.016708
13,-0.006844
14,-0.014452
15,0.001343
16,-0.012332
17,-0.009849
18,-0.008950
19,-0.008604
20,-0.010699
21,-0.005571
22,-0.009691
23,-0.004090
24,-0.011564
25,-0.001592
26,-0.000881
27,-0.008591
28,-0.007690
29,-0.016090
30,-0.016392
31,-0.017584
32,-0.018309
33,-0.010497
34,-0.011747
35,-0.012813
36,-0.005078
37,-0.020395
38,-0.020881
39,-0.020250
40,-0.018637
41,-0.026414
42,-0.012530
43,-0.025024
44,-0.026688
45,-0.029613
46,-0.019709
47,-0.028470
48,-0.026243
49,-0.027446
50,-0.027484
51,-0.030043
52,-0.034592
53,-0.028064
54,-0.037338
55,-0.037471
56,-0.031980
57,-0.036827
58,-0.029995
59,-0.034427
60,-0.031625
61,-0.032238
62,-0.024049
63,-0.012792
64,-0.029426
65,-0.010071
66,-0.021659
67,-0.013535
68,-0.013093
69,-0.014155
70,-0.012266
71,-0.012665
72,-0.018650
73,-0.020565
74,-0.000585
75,-0.011684
76,-0.011331
77,-0.016633
78,-0.017043
79,-0.015229
80,-0.022085
81,-0.030261
82,-0.022268
83,-0.031869
84,-0.032571
85,-0.030274
86,-0.029882
87,-0.027500
88,-0.037890
89,-0.028451
90,-0.027352
91,-0.035325
92,-0.025852
93,-0.035475
94,-0.025521
95,-0.029378
96,-0.018519
97,-0.022820
98,-0.024679
99,-0.014378
100,-0.012262
101,-0.015872
102,-0.008869
103,-0.003085
104,0.002159
105,-0.004503
106,-0.013306
107,0.000422
108,0.005580
109,-0.010264
110,-0.012952
111,-0.005738
112,-0.007168
113,0.002308
114,-0.003264
115,-0.013106
116,-0.004161
117,0.003203
118,-0.003960
119,0.002554
120,-0.004666
121,-0.001279
122,0.001322
123,0.002807
124,0.000630
125,-0.000374
126,0.006619
127,0.007979
128,-0.002794
129,0.002948
130,0.003181
131,0.007024
132,0.007817
133,0.016103
134,0.015583
135,0.011773
136,0.015323
137,0.014556
138,0.007532
139,0.007285
140,0.006393
141,0.010621
142,0.015986
143,0.012784
144,0.016048
145,0.010275
146,0.018445
147,0.028020
148,0.025668
149,0.027857
150,0.028023
151,0.021460
152,0.027613
153,0.020648
154,0.023501
155,0.025584
156,0.031178
157,0.036345
158,0.030781
159,0.024491
160,0.038719
161,0.043197
162,0.029853
163,0.038087
164,0.041885
165,0.042733
166,0.032440
167,0.042163
168,0.049488
169,0.038419
170,0.033710
171,0.054980
172,0.036676
173,0.041722
174,0.060592
175,0.038065
176,0.051785
177,0.050168
178,0.053983
179,0.059657
180,0.054695
181,0.054379
182,0.048461
183,0.060176
184,0.059260
185,0.066957
186,0.072539
187,0.062914
188,0.062354
189,0.067525
190,0.073014
191,0.070544
192,0.072034
193,0.067176
194,0.075221
195,0.082680
196,0.077524
197,0.088040
198,0.085581
199,0.084690
200,0.091318
201,0.081833
202,0.086602
203,0.080281
204,0.087937
205,0.083169
206,0.081524
207,0.095411
208,0.088765
209,0.088626
210,0.091447
211,0.096568
212,0.093002
213,0.088127
214,0.097760
215,0.106427
216,0.104800
217,0.096740
218,0.103189
219,0.093599
220,0.101568
221,0.110880
222,0.107845
223,0.105132
224,0.111204
225,0.099570
226,0.093673
227,0.106613
228,0.108146
229,0.112785
230,0.098693
231,0.114325
232,0.108480
