frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
0,2021-12-20 10:36:06.038861568,22.029169467114738,22.0,19.06926068170907,0.042747,0.0,22.026638614740182
1,2021-12-20 10:36:16.032400128,21.97980510105871,22.0,19.133693455245428,0.040883,9.993538560000001,22.024225535931734
2,2021-12-20 10:36:26.028322560,21.96459004568406,22.0,19.22407549891801,0.040848,19.989460992,22.021802362783415
3,2021-12-20 10:36:36.037501952,21.955361171106308,22.0,19.34052315814735,0.042542,29.998640384,22.019371450028164
4,2021-12-20 10:36:42.585555200,21.95599221789883,22.0,19.399517509727627,0.03916,36.546693632,22.01693517331147
5,2021-12-20 10:36:44.259313920,21.950263157894735,22.0,19.497456140350877,0.045645,38.220452352,22.014495924830754
6,2021-12-20 10:36:44.457804288,21.93938775510204,22.0,19.4,0.039069,38.418942720000004,22.012056108950024
7,2021-12-20 10:36:44.561505024,21.90877551020408,22.0,19.522448979591836,0.047501,38.522643456000004,22.009618137802494
8,2021-12-20 10:36:44.668042496,21.98190476190476,22.0,19.50857142857143,0.040349,38.629180928000004,22.00718442689375
9,2021-12-20 10:36:44.800198144,21.92408163265306,22.0,19.40469387755102,0.050997,38.761336576000005,22.00475739071771
10,2021-12-20 10:36:44.895098112,21.93875,22.0,19.41,0.045145,38.856236544000005,22.002339438397296
11,2021-12-20 10:36:44.961965568,21.94674418604651,22.0,19.41,0.040525,38.923104,21.999932969361417
12,2021-12-20 10:36:45.060476416,21.93938775510204,22.0,19.41,0.041915,39.021614848,21.99754036906932
13,2021-12-20 10:36:45.169126144,21.96404761904762,22.0,19.41,0.045194,39.130264576,21.99516400479305
14,2021-12-20 10:36:45.307890176,21.954375,22.0,19.41,0.050263,39.269028608,21.992806221468207
15,2021-12-20 10:36:45.410554880,21.94222222222222,22.0,19.41,0.038191,39.371693312,21.990469337622674
16,2021-12-20 10:36:45.471095808,21.97,22.0,19.41,0.043447,39.43223424,21.988155641392396
17,2021-12-20 10:36:45.558492160,21.918979591836734,22.0,19.41,0.042411,39.519630592,21.98586738663278
18,2021-12-20 10:36:45.660996096,21.97,22.0,19.41,0.049827,39.622134528,21.983606789133656
19,2021-12-20 10:36:45.792528384,21.949591836734694,22.0,19.41,0.047312,39.753666816,21.981376022945238
20,2021-12-20 10:36:45.903139328,21.970000000000002,22.0,19.41,0.040484,39.86427776,21.97917721682182
21,2021-12-20 10:36:45.972883456,21.9465625,22.0,19.42,0.039979,39.934021888000004,21.977012450789513
22,2021-12-20 10:36:46.058791168,21.959795918367348,22.0,19.42,0.043143,40.019929600000005,21.974883752843574
23,2021-12-20 10:36:46.160168704,21.97,22.0,19.42,0.038834,40.121307136000006,21.97279309578039
24,2021-12-20 10:36:46.289146112,21.975102040816324,22.0,19.42,0.045938,40.250284544,21.970742394168543
25,2021-12-20 10:36:46.399324416,21.97,22.0,19.42,0.044672,40.360462848000004,21.968733501462903
26,2021-12-20 10:36:46.471100416,21.97,22.0,19.42,0.047705,40.432238848000004,21.966768207265066
27,2021-12-20 10:36:46.558476800,21.93938775510204,22.0,19.42,0.045382,40.51961523200001,21.9648482347329
28,2021-12-20 10:36:46.664903424,21.910217391304347,22.0,19.477391304347826,0.035338,40.62604185600001,21.962975238141563
29,2021-12-20 10:36:46.799795200,21.97,22.0,19.606122448979594,0.048434,40.76093363200001,21.961150800597668
30,2021-12-20 10:36:46.904883968,21.97,22.0,19.42,0.040368,40.86602240000001,21.95937643190794
31,2021-12-20 10:36:46.972505856,21.97,22.0,19.43,0.042951,40.93364428800001,21.957653566603057
32,2021-12-20 10:36:47.060717056,21.9075,22.0,19.474999999999998,0.051437,41.021855488000014,21.955983562117108
33,2021-12-20 10:36:47.162788608,21.917674418604648,22.0,19.619767441860468,0.047556,41.12392704000001,21.954367697122493
34,2021-12-20 10:36:47.293536256,21.959795918367348,22.0,19.43,0.037064,41.254674688000016,21.952807170019653
