Frame,Mean
0,0.005721
1,-0.005377
2,-0.000262
3,-0.009305
4,-0.002757
5,-0.003408
6,-0.003426
7,-0.002487
8,0.005865
9,-0.000329
10,-0.006099
11,0.001866
12,0.008167
13,-0.006227
14,0.013401
15,0.007696
16,0.008667
17,0.006839
18,0.003399
19,0.013978
20,0.010882
21,0.014682
22,0.017898
23,0.014539
24,0.021284
25,0.024273
26,0.025540
27,0.024467
28,0.026134
29,0.016457
30,0.019786
31,0.022903
32,0.024372
33,0.027725
34,0.025503
35,0.027371
36,0.035490
37,0.022782
38,0.034142
39,0.024069
40,0.029922
41,0.028032
42,0.024286
43,0.033316
44,0.031883
45,0.025868
46,0.039918
47,0.037632
48,0.041447
49,0.045439
50,0.032581
51,0.047515
52,0.035090
53,0.040691
54,0.041091
55,0.045706
56,0.044691
57,0.039149
58,0.041308
59,0.046279
60,0.041940
61,0.041553
62,0.032856
63,0.038314
64,0.041316
65,0.041707
66,0.042838
67,0.043715
68,0.037404
69,0.044041
70,0.043008
71,0.043653
72,0.055068
73,0.045440
74,0.041995
75,0.044734
76,0.048350
77,0.047768
78,0.043195
79,0.051795
80,0.043508
81,0.053550
82,0.046994
83,0.048163
84,0.040617
85,0.046551
86,0.051587
87,0.052388
88,0.046123
89,0.048353
90,0.050569
91,0.048204
92,0.045357
93,0.054164
94,0.046415
95,0.046212
96,0.044590
97,0.048521
98,0.048115
99,0.044249
100,0.047573
101,0.046535
102,0.051687
103,0.050306
104,0.045787
105,0.045478
106,0.045864
107,0.044805
108,0.045365
109,0.043566
110,0.043751
111,0.050413
112,0.046112
113,0.059367
114,0.057149
115,0.049805
116,0.046685
117,0.045377
118,0.045709
119,0.049086
120,0.054821
121,0.049502
122,0.048258
123,0.045218
124,0.045692
125,0.050076
126,0.046037
127,0.038298
128,0.043150
129,0.044980
130,0.048041
131,0.043450
132,0.043562
133,0.045086
134,0.052839
135,0.036392
136,0.045418
137,0.047697
138,0.045507
139,0.042372
140,0.042814
141,0.043668
142,0.041080
143,0.045542
144,0.039406
145,0.031314
146,0.039227
147,0.033500
148,0.032451
149,0.038850
150,0.036427
151,0.031410
152,0.029506
153,0.032644
154,0.036790
155,0.032283
156,0.034270
157,0.033298
158,0.026674
159,0.042327
